"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"AT32";"A";"2013";5185;NA;NA
"AT32";"A";"2012";5084;NA;NA
"AT32";"A";"2011";5052;NA;NA
"AT32";"A";"2010";5091;NA;NA
"AT32";"A";"2009";4866;NA;NA
"AT32";"A";"2008";5070;NA;NA
"AT32";"A";"2007";5031;NA;NA
"AT32";"A";"2006";5020;NA;NA
"AT32";"A";"2005";5280;NA;NA
"AT32";"A";"2004";5300;NA;NA
"AT32";"A";"2003";5200;NA;NA
"AT32";"A";"2002";5400;NA;NA
"AT32";"A";"2001";5200;NA;NA
"AT32";"A";"2000";5400;NA;NA
"AT32";"A";"1999";5600;NA;NA
"AT32";"A";"1998";5700;NA;NA
"AT32";"A";"1997";5904;NA;NA
"AT32";"A";"1996";6127;NA;NA
"AT32";"A";"1995";6172;NA;NA
"AT32";"A";"1994";6300;NA;NA
"AT32";"A";"1993";6500;NA;NA
"AT32";"A";"1992";6600;NA;NA
"AT32";"A";"1991";6400;NA;NA
"AT32";"A";"1990";5900;NA;NA
"AT33";"A";"2013";6962;NA;NA
"AT33";"A";"2012";6917;NA;NA
"AT33";"A";"2011";6724;NA;NA
"AT33";"A";"2010";6819;NA;NA
"AT33";"A";"2009";6636;NA;NA
"AT33";"A";"2008";6703;NA;NA
"AT33";"A";"2007";6651;NA;NA
"AT33";"A";"2006";6900;NA;NA
"AT33";"A";"2005";6910;NA;NA
"AT33";"A";"2004";7000;NA;NA
"AT33";"A";"2003";6800;NA;NA
"AT33";"A";"2002";7000;NA;NA
"AT33";"A";"2001";6800;NA;NA
"AT33";"A";"2000";7100;NA;NA
"AT33";"A";"1999";7100;NA;NA
"AT33";"A";"1998";7700;NA;NA
"AT33";"A";"1997";7849;NA;NA
"AT33";"A";"1996";8321;NA;NA
"AT33";"A";"1995";8245;NA;NA
"AT33";"A";"1994";8600;NA;NA
"AT33";"A";"1993";8900;NA;NA
"AT33";"A";"1992";8800;NA;NA
"AT33";"A";"1991";8600;NA;NA
"AT33";"A";"1990";8200;NA;NA
"BE22";"A";"2013";8517;NA;NA
"BE22";"A";"2012";8874;NA;NA
"BE22";"A";"2011";9013;NA;NA
"BE22";"A";"2010";9019;NA;NA
"BE22";"A";"2009";8771;NA;NA
"BE22";"A";"2008";8769;NA;NA
"BE22";"A";"2007";8508;NA;NA
"BE22";"A";"2006";8280;NA;NA
"BE22";"A";"2005";8070;NA;NA
"BE22";"A";"2004";8000;NA;NA
"BE22";"A";"2003";7600;NA;NA
"BE22";"A";"2002";7800;NA;NA
"BE22";"A";"2001";8000;NA;NA
"BE22";"A";"2000";8000;NA;NA
"BE22";"A";"1999";8100;NA;NA
"BE22";"A";"1998";8200;NA;NA
"BE22";"A";"1997";8559;NA;NA
"BE22";"A";"1996";8292;NA;NA
"BE22";"A";"1995";8462;NA;NA
"BE22";"A";"1994";8500;NA;NA
"BE22";"A";"1993";9200;NA;NA
"BE22";"A";"1992";9600;NA;NA
"BE22";"A";"1991";9700;NA;NA
"BE22";"A";"1990";9500;NA;NA
"ES13";"A";"2013";4831;NA;NA
"ES13";"A";"2012";5064;NA;NA
"ES13";"A";"2011";5344;NA;NA
"ES13";"A";"2010";5575;NA;NA
"ES13";"A";"2009";5619;NA;NA
"ES13";"A";"2008";5886;NA;NA
"ES13";"A";"2007";5379;NA;NA
"ES13";"A";"2006";5229;NA;NA
"ES13";"A";"2005";5270;NA;NA
"ES13";"A";"2004";5100;NA;NA
"ES13";"A";"2003";4800;NA;NA
"ES13";"A";"2002";4500;NA;NA
"ES13";"A";"2001";4300;NA;NA
"ES13";"A";"2000";4300;NA;NA
"ES13";"A";"1999";4000;NA;NA
"ES13";"A";"1998";3800;NA;NA
"ES13";"A";"1997";3900;NA;NA
"ES13";"A";"1996";3857;NA;NA
"ES13";"A";"1995";3756;NA;NA
"ES13";"A";"1994";3734;NA;NA
"ES13";"A";"1993";4117;NA;NA
"ES13";"A";"1992";4200;NA;NA
"ES13";"A";"1991";4300;NA;NA
"ES13";"A";"1990";4600;NA;NA
"ITH1";"A";"2013";5281;NA;NA
"ITH1";"A";"2012";5414;NA;NA
"ITH1";"A";"2011";5270;NA;NA
"ITH1";"A";"2010";5381;NA;NA
"ITH1";"A";"2009";5232;NA;NA
"ITH1";"A";"2008";5462;NA;NA
"ITH1";"A";"2007";5502;NA;NA
"ITH1";"A";"2006";5409;NA;NA
"ITH1";"A";"2005";5525;NA;NA
"ITH1";"A";"2004";5450;NA;NA
"ITH1";"A";"2003";5388;NA;NA
"ITH1";"A";"2002";5208;NA;NA
"ITH1";"A";"2001";5469;NA;NA
"ITH1";"A";"2000";5400;NA;NA
"ITH1";"A";"1999";5600;NA;NA
"ITH1";"A";"1998";5400;NA;NA
"ITH1";"A";"1997";5607;NA;NA
"ITH1";"A";"1996";5419;NA;NA
"ITH1";"A";"1995";5189;NA;NA
"ITH1";"A";"1994";5210;NA;NA
"ITH1";"A";"1993";5194;NA;NA
"ITH1";"A";"1992";5381;NA;NA
"ITH1";"A";"1991";5320;NA;NA
"ITH1";"A";"1990";5240;NA;NA
"ITH2";"A";"2013";5113;NA;NA
