"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG"
"TOTAL";"T";"AT32";"A";"2014";534185;NA
"TOTAL";"T";"AT32";"A";"2013";531898;NA
"TOTAL";"T";"AT32";"A";"2012";529704;NA
"TOTAL";"T";"AT32";"A";"2011";527886;NA
"TOTAL";"T";"AT32";"A";"2010";526730;NA
"TOTAL";"T";"AT32";"A";"2009";526699;NA
"TOTAL";"T";"AT32";"A";"2008";525944;NA
"TOTAL";"T";"AT32";"A";"2007";526048;NA
"TOTAL";"T";"AT32";"A";"2006";524920;NA
"TOTAL";"T";"AT32";"A";"2005";522369;NA
"TOTAL";"T";"AT32";"A";"2004";519691;NA
"TOTAL";"T";"AT32";"A";"2003";517084;NA
"TOTAL";"T";"AT32";"A";"2002";517050;NA
"TOTAL";"T";"AT32";"A";"2001";514851;NA
"TOTAL";"T";"AT32";"A";"2000";512854;NA
"TOTAL";"T";"AT32";"A";"1999";511233;NA
"TOTAL";"T";"AT32";"A";"1998";510973;NA
"TOTAL";"T";"AT32";"A";"1997";510023;NA
"TOTAL";"T";"AT32";"A";"1996";508253;NA
"TOTAL";"T";"AT32";"A";"1995";506626;NA
"TOTAL";"T";"AT32";"A";"1994";503848;NA
"TOTAL";"T";"AT32";"A";"1993";498611;NA
"TOTAL";"T";"AT32";"A";"1992";488833;NA
"TOTAL";"T";"AT32";"A";"1991";480766;NA
"TOTAL";"T";"AT32";"A";"1990";471835;NA
"TOTAL";"T";"AT33";"A";"2014";721574;NA
"TOTAL";"T";"AT33";"A";"2013";715888;NA
"TOTAL";"T";"AT33";"A";"2012";711581;NA
"TOTAL";"T";"AT33";"A";"2011";707517;NA
"TOTAL";"T";"AT33";"A";"2010";704662;NA
"TOTAL";"T";"AT33";"A";"2009";702502;NA
"TOTAL";"T";"AT33";"A";"2008";699588;NA
"TOTAL";"T";"AT33";"A";"2007";697253;NA
"TOTAL";"T";"AT33";"A";"2006";694253;NA
"TOTAL";"T";"AT33";"A";"2005";688954;NA
"TOTAL";"T";"AT33";"A";"2004";683639;NA
"TOTAL";"T";"AT33";"A";"2003";679457;NA
"TOTAL";"T";"AT33";"A";"2002";675700;NA
"TOTAL";"T";"AT33";"A";"2001";671492;NA
"TOTAL";"T";"AT33";"A";"2000";667459;NA
"TOTAL";"T";"AT33";"A";"1999";664067;NA
"TOTAL";"T";"AT33";"A";"1998";660864;NA
"TOTAL";"T";"AT33";"A";"1997";657694;NA
"TOTAL";"T";"AT33";"A";"1996";653369;NA
"TOTAL";"T";"AT33";"A";"1995";649875;NA
"TOTAL";"T";"AT33";"A";"1994";645858;NA
"TOTAL";"T";"AT33";"A";"1993";639956;NA
"TOTAL";"T";"AT33";"A";"1992";632471;NA
"TOTAL";"T";"AT33";"A";"1991";624114;NA
"TOTAL";"T";"AT33";"A";"1990";618459;NA
"TOTAL";"T";"BE22";"A";"2014";858535;NA
"TOTAL";"T";"BE22";"A";"2013";855963;NA
"TOTAL";"T";"BE22";"A";"2012";852056;NA
"TOTAL";"T";"BE22";"A";"2011";846851;"b"
"TOTAL";"T";"BE22";"A";"2010";838505;NA
"TOTAL";"T";"BE22";"A";"2009";833160;NA
"TOTAL";"T";"BE22";"A";"2008";826690;NA
"TOTAL";"T";"BE22";"A";"2007";820272;NA
"TOTAL";"T";"BE22";"A";"2006";814658;NA
"TOTAL";"T";"BE22";"A";"2005";809942;NA
"TOTAL";"T";"BE22";"A";"2004";805786;NA
"TOTAL";"T";"BE22";"A";"2003";802528;NA
"TOTAL";"T";"BE22";"A";"2002";798583;NA
"TOTAL";"T";"BE22";"A";"2001";794785;NA
"TOTAL";"T";"BE22";"A";"2000";791178;NA
"TOTAL";"T";"BE22";"A";"1999";787491;NA
"TOTAL";"T";"BE22";"A";"1998";783927;NA
"TOTAL";"T";"BE22";"A";"1997";779969;NA
"TOTAL";"T";"BE22";"A";"1996";775302;NA
"TOTAL";"T";"BE22";"A";"1995";771613;NA
"TOTAL";"T";"BE22";"A";"1994";766833;NA
"TOTAL";"T";"BE22";"A";"1993";761565;NA
"TOTAL";"T";"BE22";"A";"1992";755593;NA
"TOTAL";"T";"BE22";"A";"1991";750082;NA
"TOTAL";"T";"BE22";"A";"1990";745034;NA
"TOTAL";"T";"ES13";"A";"2014";587682;NA
"TOTAL";"T";"ES13";"A";"2013";590036;NA
"TOTAL";"T";"ES13";"A";"2012";592383;NA
"TOTAL";"T";"ES13";"A";"2011";590867;NA
"TOTAL";"T";"ES13";"A";"2010";588512;NA
"TOTAL";"T";"ES13";"A";"2009";584657;NA
"TOTAL";"T";"ES13";"A";"2008";577267;NA
"TOTAL";"T";"ES13";"A";"2007";568196;NA
"TOTAL";"T";"ES13";"A";"2006";561042;NA
"TOTAL";"T";"ES13";"A";"2005";554688;NA
"TOTAL";"T";"ES13";"A";"2004";548014;NA
"TOTAL";"T";"ES13";"A";"2003";541651;NA
"TOTAL";"T";"ES13";"A";"2002";536286;NA
"TOTAL";"T";"ES13";"A";"2001";532958;NA
"TOTAL";"T";"ES13";"A";"2000";531072;NA
"TOTAL";"T";"ES13";"A";"1999";529568;NA
"TOTAL";"T";"ES13";"A";"1998";528714;NA
"TOTAL";"T";"ES13";"A";"1997";528549;NA
"TOTAL";"T";"ES13";"A";"1996";528893;NA
"TOTAL";"T";"ES13";"A";"1995";528851;NA
"TOTAL";"T";"ES13";"A";"1994";528357;NA
"TOTAL";"T";"ES13";"A";"1993";528055;NA
"TOTAL";"T";"ES13";"A";"1992";527828;NA
"TOTAL";"T";"ES13";"A";"1991";527558;NA
"TOTAL";"T";"ES13";"A";"1990";527538;NA
"TOTAL";"T";"ITH1";"A";"2014";515714;NA
"TOTAL";"T";"ITH1";"A";"2013";509626;NA
"TOTAL";"T";"ITH1";"A";"2012";504708;NA
"TOTAL";"T";"ITH1";"A";"2011";501815;NA
"TOTAL";"T";"ITH1";"A";"2010";498315;NA
"TOTAL";"T";"ITH1";"A";"2009";494559;NA
"TOTAL";"T";"ITH1";"A";"2008";490035;NA
"TOTAL";"T";"ITH1";"A";"2007";484280;NA
"TOTAL";"T";"ITH1";"A";"2006";479354;NA
"TOTAL";"T";"ITH1";"A";"2005";474568;NA
"TOTAL";"T";"ITH1";"A";"2004";470116;NA
"TOTAL";"T";"ITH1";"A";"2003";466685;NA
"TOTAL";"T";"ITH1";"A";"2002";462827;NA
"TOTAL";"T";"ITH1";"A";"2001";461101;NA
"TOTAL";"T";"ITH1";"A";"2000";458553;NA
"TOTAL";"T";"ITH1";"A";"1999";455859;NA
"TOTAL";"T";"ITH1";"A";"1998";453549;NA
"TOTAL";"T";"ITH1";"A";"1997";450683;NA
"TOTAL";"T";"ITH1";"A";"1996";448361;NA
"TOTAL";"T";"ITH1";"A";"1995";446195;NA
"TOTAL";"T";"ITH1";"A";"1994";444327;NA
"TOTAL";"T";"ITH1";"A";"1993";442450;NA
"TOTAL";"T";"ITH1";"A";"1992";440635;NA
"TOTAL";"T";"ITH1";"A";"1991";438916;NA
"TOTAL";"T";"ITH1";"A";"1990";437426;NA
"TOTAL";"T";"ITH2";"A";"2014";536237;NA
"TOTAL";"T";"ITH2";"A";"2013";530308;NA
"TOTAL";"T";"ITH2";"A";"2012";524877;NA
"TOTAL";"T";"ITH2";"A";"2011";522486;NA
"TOTAL";"T";"ITH2";"A";"2010";518796;NA
"TOTAL";"T";"ITH2";"A";"2009";514881;NA
"TOTAL";"T";"ITH2";"A";"2008";509109;NA
"TOTAL";"T";"ITH2";"A";"2007";503147;NA
"TOTAL";"T";"ITH2";"A";"2006";498537;NA
"TOTAL";"T";"ITH2";"A";"2005";493907;NA
"TOTAL";"T";"ITH2";"A";"2004";487390;NA
"TOTAL";"T";"ITH2";"A";"2003";481341;NA
"TOTAL";"T";"ITH2";"A";"2002";476792;NA
"TOTAL";"T";"ITH2";"A";"2001";474310;NA
"TOTAL";"T";"ITH2";"A";"2000";470505;NA
"TOTAL";"T";"ITH2";"A";"1999";467025;NA
"TOTAL";"T";"ITH2";"A";"1998";463899;NA
"TOTAL";"T";"ITH2";"A";"1997";460984;NA
"TOTAL";"T";"ITH2";"A";"1996";458159;NA
"TOTAL";"T";"ITH2";"A";"1995";455982;NA
"TOTAL";"T";"ITH2";"A";"1994";453863;NA
"TOTAL";"T";"ITH2";"A";"1993";451606;NA
"TOTAL";"T";"ITH2";"A";"1992";449805;NA
"TOTAL";"T";"ITH2";"A";"1991";448280;NA
"TOTAL";"T";"ITH2";"A";"1990";445997;NA
"TOTAL";"T";"MT00";"A";"2014";425384;NA
"TOTAL";"T";"MT00";"A";"2013";421364;NA
"TOTAL";"T";"MT00";"A";"2012";417546;NA
"TOTAL";"T";"MT00";"A";"2011";414989;NA
"TOTAL";"T";"MT00";"A";"2010";414027;NA
"TOTAL";"T";"MT00";"A";"2009";410926;NA
"TOTAL";"T";"MT00";"A";"2008";407832;NA
"TOTAL";"T";"MT00";"A";"2007";405616;NA
"TOTAL";"T";"MT00";"A";"2006";404999;NA
"TOTAL";"T";"MT00";"A";"2005";402668;NA
"TOTAL";"T";"MT00";"A";"2004";399867;NA
"TOTAL";"T";"MT00";"A";"2003";397296;NA
"TOTAL";"T";"MT00";"A";"2002";394641;NA
"TOTAL";"T";"MT00";"A";"2001";391415;"b"
"TOTAL";"T";"MT00";"A";"2000";380201;NA
"TOTAL";"T";"MT00";"A";"1999";378518;NA
"TOTAL";"T";"MT00";"A";"1998";376513;NA
"TOTAL";"T";"MT00";"A";"1997";373958;NA
"TOTAL";"T";"MT00";"A";"1996";371415;NA
"TOTAL";"T";"MT00";"A";"1995";369451;NA
"TOTAL";"T";"MT00";"A";"1994";366431;NA
"TOTAL";"T";"MT00";"A";"1993";362977;NA
"TOTAL";"T";"MT00";"A";"1992";359543;NA
"TOTAL";"T";"MT00";"A";"1991";355910;NA
"TOTAL";"T";"MT00";"A";"1990";352430;NA
"TOTAL";"T";"NL12";"A";"2014";646317;NA
"TOTAL";"T";"NL12";"A";"2013";646862;NA
"TOTAL";"T";"NL12";"A";"2012";647214;NA
"TOTAL";"T";"NL12";"A";"2011";647282;NA
"TOTAL";"T";"NL12";"A";"2010";646305;NA
"TOTAL";"T";"NL12";"A";"2009";644811;NA
"TOTAL";"T";"NL12";"A";"2008";643189;NA
"TOTAL";"T";"NL12";"A";"2007";642209;NA
"TOTAL";"T";"NL12";"A";"2006";642230;NA
"TOTAL";"T";"NL12";"A";"2005";642977;NA
"TOTAL";"T";"NL12";"A";"2004";642066;NA
"TOTAL";"T";"NL12";"A";"2003";639787;NA
"TOTAL";"T";"NL12";"A";"2002";636184;NA
"TOTAL";"T";"NL12";"A";"2001";630539;NA
"TOTAL";"T";"NL12";"A";"2000";624500;NA
"TOTAL";"T";"NL12";"A";"1999";621222;NA
"TOTAL";"T";"NL12";"A";"1998";618115;NA
"TOTAL";"T";"NL12";"A";"1997";615045;NA
"TOTAL";"T";"NL12";"A";"1996";612028;NA
"TOTAL";"T";"NL12";"A";"1995";609579;NA
"TOTAL";"T";"NL12";"A";"1994";607016;NA
"TOTAL";"T";"NL12";"A";"1993";603998;NA
"TOTAL";"T";"NL12";"A";"1992";601839;NA
"TOTAL";"T";"NL12";"A";"1991";600013;NA
"TOTAL";"T";"NL12";"A";"1990";599151;NA
"TOTAL";"T";"NL13";"A";"2014";488988;NA
"TOTAL";"T";"NL13";"A";"2013";489918;NA
"TOTAL";"T";"NL13";"A";"2012";490807;NA
"TOTAL";"T";"NL13";"A";"2011";491411;NA
"TOTAL";"T";"NL13";"A";"2010";490981;NA
"TOTAL";"T";"NL13";"A";"2009";489918;NA
"TOTAL";"T";"NL13";"A";"2008";488135;NA
"TOTAL";"T";"NL13";"A";"2007";486197;NA
"TOTAL";"T";"NL13";"A";"2006";484481;NA
"TOTAL";"T";"NL13";"A";"2005";483369;NA
"TOTAL";"T";"NL13";"A";"2004";482415;NA
"TOTAL";"T";"NL13";"A";"2003";481254;NA
"TOTAL";"T";"NL13";"A";"2002";478799;NA
"TOTAL";"T";"NL13";"A";"2001";474506;NA
"TOTAL";"T";"NL13";"A";"2000";469806;NA
"TOTAL";"T";"NL13";"A";"1999";467093;NA
