"UNIT";"LANDUSE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"KM2";"TOTAL";"AT32";"A";"2014";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2013";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2012";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2011";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2010";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2009";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2008";7156;NA;NA
"KM2";"TOTAL";"AT32";"A";"2007";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"2006";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"2005";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"2004";NA;"na";NA
"KM2";"TOTAL";"AT32";"A";"2003";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"2002";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"2001";NA;"na";NA
"KM2";"TOTAL";"AT32";"A";"2000";7153,9;NA;NA
"KM2";"TOTAL";"AT32";"A";"1999";NA;"na";NA
"KM2";"TOTAL";"AT32";"A";"1998";7153,9;NA;NA
"KM2";"TOTAL";"AT32";"A";"1997";7154,5;NA;NA
"KM2";"TOTAL";"AT32";"A";"1996";7154,5;NA;NA
"KM2";"TOTAL";"AT32";"A";"1995";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"1994";7154,2;NA;NA
"KM2";"TOTAL";"AT32";"A";"1993";7154,3;NA;NA
"KM2";"TOTAL";"AT32";"A";"1992";7154,1;NA;NA
"KM2";"TOTAL";"AT32";"A";"1991";7154,1;NA;NA
"KM2";"TOTAL";"AT32";"A";"1990";NA;"na";NA
"KM2";"TOTAL";"AT33";"A";"2014";12640;NA;NA
"KM2";"TOTAL";"AT33";"A";"2013";12640;NA;NA
"KM2";"TOTAL";"AT33";"A";"2012";12640;NA;NA
"KM2";"TOTAL";"AT33";"A";"2011";12640,2;NA;NA
"KM2";"TOTAL";"AT33";"A";"2010";12640,2;NA;NA
"KM2";"TOTAL";"AT33";"A";"2009";12640,2;NA;NA
"KM2";"TOTAL";"AT33";"A";"2008";12640,2;NA;NA
"KM2";"TOTAL";"AT33";"A";"2007";12647,7;NA;NA
"KM2";"TOTAL";"AT33";"A";"2006";12647,7;NA;NA
"KM2";"TOTAL";"AT33";"A";"2005";12647,7;NA;NA
"KM2";"TOTAL";"AT33";"A";"2004";NA;"na";NA
"KM2";"TOTAL";"AT33";"A";"2003";12647,7;NA;NA
"KM2";"TOTAL";"AT33";"A";"2002";12647,7;NA;NA
"KM2";"TOTAL";"AT33";"A";"2001";NA;"na";NA
"KM2";"TOTAL";"AT33";"A";"2000";12647,2;NA;NA
"KM2";"TOTAL";"AT33";"A";"1999";NA;"na";NA
"KM2";"TOTAL";"AT33";"A";"1998";12647,2;NA;NA
"KM2";"TOTAL";"AT33";"A";"1997";12647,1;NA;NA
"KM2";"TOTAL";"AT33";"A";"1996";12647,8;NA;NA
"KM2";"TOTAL";"AT33";"A";"1995";12647,8;NA;NA
"KM2";"TOTAL";"AT33";"A";"1994";12647,8;NA;NA
"KM2";"TOTAL";"AT33";"A";"1993";12648;NA;NA
