"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"AT32";"A";"2014";76;NA;NA
"AT32";"A";"2013";75,6;NA;NA
"AT32";"A";"2012";75,3;NA;NA
"AT32";"A";"2011";75;NA;NA
"AT32";"A";"2010";74,8;NA;NA
"AT32";"A";"2009";74,7;NA;NA
"AT32";"A";"2008";74,6;NA;NA
"AT32";"A";"2007";74,6;NA;NA
"AT32";"A";"2006";74,5;NA;NA
"AT32";"A";"2005";74,2;NA;NA
"AT32";"A";"2004";NA;"na";NA
"AT32";"A";"2003";73,5;NA;NA
"AT32";"A";"2002";73,3;NA;NA
"AT32";"A";"2001";NA;"na";NA
"AT32";"A";"2000";72,9;NA;NA
"AT32";"A";"1999";NA;"na";NA
"AT32";"A";"1998";72,5;NA;NA
"AT32";"A";"1997";72,4;NA;NA
"AT32";"A";"1996";72,2;NA;NA
"AT32";"A";"1995";72;NA;NA
"AT32";"A";"1994";71,6;NA;NA
"AT32";"A";"1993";71,1;NA;NA
"AT32";"A";"1992";70;NA;NA
"AT32";"A";"1991";68,7;NA;NA
"AT32";"A";"1990";NA;"na";NA
"AT33";"A";"2014";57,9;NA;NA
"AT33";"A";"2013";57,4;NA;NA
"AT33";"A";"2012";57;NA;NA
"AT33";"A";"2011";56,7;NA;NA
"AT33";"A";"2010";56,4;NA;NA
"AT33";"A";"2009";56,2;NA;NA
"AT33";"A";"2008";56;NA;NA
"AT33";"A";"2007";55,7;NA;NA
"AT33";"A";"2006";55,5;NA;NA
"AT33";"A";"2005";55,2;NA;NA
"AT33";"A";"2004";NA;"na";NA
"AT33";"A";"2003";54,4;NA;NA
"AT33";"A";"2002";54,1;NA;NA
"AT33";"A";"2001";NA;"na";NA
"AT33";"A";"2000";53,4;NA;NA
"AT33";"A";"1999";NA;"na";NA
"AT33";"A";"1998";52,9;NA;NA
"AT33";"A";"1997";52,6;NA;NA
"AT33";"A";"1996";52,3;NA;NA
"AT33";"A";"1995";52;NA;NA
"AT33";"A";"1994";51,7;NA;NA
"AT33";"A";"1993";51,3;NA;NA
"AT33";"A";"1992";50,8;NA;NA
"AT33";"A";"1991";50,2;NA;NA
"AT33";"A";"1990";NA;"na";NA
"AT34";"A";"2014";148,7;NA;NA
"AT34";"A";"2013";147,6;NA;NA
"AT34";"A";"2012";146,7;NA;NA
"AT34";"A";"2011";146,1;NA;NA
"AT34";"A";"2010";145,6;NA;NA
"AT34";"A";"2009";145,1;NA;NA
"AT34";"A";"2008";144,6;NA;NA
"AT34";"A";"2007";144;NA;NA
"AT34";"A";"2006";143,4;NA;NA
"AT34";"A";"2005";142,6;NA;NA
"AT34";"A";"2004";NA;"na";NA
"AT34";"A";"2003";140,3;NA;NA
"AT34";"A";"2002";139,5;NA;NA
"AT34";"A";"2001";NA;"na";NA
"AT34";"A";"2000";137,7;NA;NA
"AT34";"A";"1999";NA;"na";NA
"AT34";"A";"1998";136,4;NA;NA
"AT34";"A";"1997";135,9;NA;NA
"AT34";"A";"1996";135,4;NA;NA
"AT34";"A";"1995";135;NA;NA
"AT34";"A";"1994";134,4;NA;NA
"AT34";"A";"1993";133,7;NA;NA
"AT34";"A";"1992";132,7;NA;NA
"AT34";"A";"1991";131;NA;NA
"AT34";"A";"1990";NA;"na";NA
"CH07";"A";"2014";127,1;NA;NA
"CH07";"A";"2013";125,5;NA;NA
"CH07";"A";"2012";123,8;NA;NA
"CH07";"A";"2011";122,3;NA;NA
"CH07";"A";"2010";123,2;NA;NA
"CH07";"A";"2009";121,9;NA;NA
"CH07";"A";"2008";120,6;NA;NA
"CH07";"A";"2007";119,2;NA;NA
"CH07";"A";"2006";118;NA;NA
"CH07";"A";"2005";117,1;NA;NA
"CH07";"A";"2004";116,2;NA;NA
"CH07";"A";"2003";115,4;NA;NA
"CH07";"A";"2002";114,5;NA;NA
"CH07";"A";"2001";113,7;NA;NA
"CH07";"A";"2000";113;NA;NA
"CH07";"A";"1999";112,1;NA;NA
"CH07";"A";"1998";111,6;NA;NA
"CH07";"A";"1997";111,3;NA;NA
"CH07";"A";"1996";111,3;NA;NA
"CH07";"A";"1995";110,8;NA;NA
"CH07";"A";"1994";109,4;NA;NA
"CH07";"A";"1993";108;NA;NA
"CH07";"A";"1992";106,5;NA;NA
"CH07";"A";"1991";105,2;NA;NA
"CH07";"A";"1990";103,9;NA;NA
"DE2";"A";"2014";179,3;NA;NA
"DE2";"A";"2013";180,2;NA;NA
"DE2";"A";"2012";179,1;NA;NA
"DE2";"A";"2011";178,1;NA;NA
"DE2";"A";"2010";177,5;NA;NA
"DE2";"A";"2009";177,4;NA;NA
"DE2";"A";"2008";177,5;NA;NA
"DE2";"A";"2007";177,3;NA;NA
"DE2";"A";"2006";176,9;NA;NA
"DE2";"A";"2005";176,6;NA;NA
"DE2";"A";"2004";176,2;NA;NA
"DE2";"A";"2003";175,8;NA;NA
"DE2";"A";"2002";175,2;NA;NA
"DE2";"A";"2001";174,1;NA;NA
"DE2";"A";"2000";172,8;NA;NA
"DE2";"A";"1999";171,8;NA;NA
"DE2";"A";"1998";171,2;NA;NA
"DE2";"A";"1997";170,9;NA;NA
"DE2";"A";"1996";NA;"na";NA
"DE2";"A";"1995";NA;"na";NA
"DE2";"A";"1994";NA;"na";NA
"DE2";"A";"1993";NA;"na";NA
"DE2";"A";"1992";NA;"na";NA
"DE2";"A";"1991";NA;"na";NA
"DE2";"A";"1990";NA;"na";NA
"EU27";"A";"2014";117,2;NA;"e"
