"AGE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"TOTAL";"AT32";"A";"2013";1,48;NA
"TOTAL";"AT32";"A";"2012";1,46;NA
"TOTAL";"AT32";"A";"2011";1,46;NA
"TOTAL";"AT32";"A";"2010";1,47;NA
"TOTAL";"AT32";"A";"2009";1,39;NA
"TOTAL";"AT32";"A";"2008";1,44;NA
"TOTAL";"AT32";"A";"2007";1,41;NA
"TOTAL";"AT32";"A";"2006";1,39;NA
"TOTAL";"AT32";"A";"2005";1,45;NA
"TOTAL";"AT32";"A";"2004";1,43;NA
"TOTAL";"AT32";"A";"2003";1,38;NA
"TOTAL";"AT32";"A";"2002";1,43;NA
"TOTAL";"AT32";"A";"2001";1,34;NA
"TOTAL";"AT32";"A";"2000";1,38;NA
"TOTAL";"AT32";"A";"1999";1,4;NA
"TOTAL";"AT32";"A";"1998";1,4;NA
"TOTAL";"AT32";"A";"1997";1,43;NA
"TOTAL";"AT32";"A";"1996";1,46;NA
"TOTAL";"AT32";"A";"1995";1,45;NA
"TOTAL";"AT32";"A";"1994";1,48;NA
"TOTAL";"AT32";"A";"1993";1,51;NA
"TOTAL";"AT32";"A";"1992";1,54;NA
"TOTAL";"AT32";"A";"1991";1,5;NA
"TOTAL";"AT32";"A";"1990";1,43;NA
"TOTAL";"AT33";"A";"2013";1,44;NA
"TOTAL";"AT33";"A";"2012";1,44;NA
"TOTAL";"AT33";"A";"2011";1,4;NA
"TOTAL";"AT33";"A";"2010";1,42;NA
"TOTAL";"AT33";"A";"2009";1,38;NA
"TOTAL";"AT33";"A";"2008";1,39;NA
"TOTAL";"AT33";"A";"2007";1,37;NA
"TOTAL";"AT33";"A";"2006";1,41;NA
"TOTAL";"AT33";"A";"2005";1,4;NA
"TOTAL";"AT33";"A";"2004";1,42;NA
"TOTAL";"AT33";"A";"2003";1,35;NA
"TOTAL";"AT33";"A";"2002";1,37;NA
"TOTAL";"AT33";"A";"2001";1,32;NA
"TOTAL";"AT33";"A";"2000";1,37;NA
"TOTAL";"AT33";"A";"1999";1,36;NA
"TOTAL";"AT33";"A";"1998";1,45;NA
"TOTAL";"AT33";"A";"1997";1,46;NA
"TOTAL";"AT33";"A";"1996";1,53;NA
"TOTAL";"AT33";"A";"1995";1,5;NA
"TOTAL";"AT33";"A";"1994";1,55;NA
"TOTAL";"AT33";"A";"1993";1,6;NA
"TOTAL";"AT33";"A";"1992";1,61;NA
"TOTAL";"AT33";"A";"1991";1,59;NA
"TOTAL";"AT33";"A";"1990";1,52;NA
"TOTAL";"BE22";"A";"2013";1,61;NA
"TOTAL";"BE22";"A";"2012";1,67;NA
"TOTAL";"BE22";"A";"2011";1,7;NA
"TOTAL";"BE22";"A";"2010";1,7;NA
"TOTAL";"BE22";"A";"2009";1,66;NA
"TOTAL";"BE22";"A";"2008";1,66;NA
"TOTAL";"BE22";"A";"2007";1,63;NA
"TOTAL";"BE22";"A";"2006";1,56;NA
"TOTAL";"BE22";"A";"2005";1,52;NA
"TOTAL";"BE22";"A";"2004";1,5;NA
"TOTAL";"BE22";"A";"2003";1,42;NA
"TOTAL";"BE22";"A";"2002";1,44;NA
"TOTAL";"BE22";"A";"2001";1,46;NA
"TOTAL";"BE22";"A";"2000";1,45;NA
"TOTAL";"BE22";"A";"1999";1,44;NA
"TOTAL";"BE22";"A";"1998";1,42;NA
"TOTAL";"BE22";"A";"1997";1,46;NA
"TOTAL";"BE22";"A";"1996";1,41;NA
"TOTAL";"BE22";"A";"1995";1,41;NA
"TOTAL";"BE22";"A";"1994";1,39;NA
"TOTAL";"BE22";"A";"1993";1,5;NA
"TOTAL";"BE22";"A";"1992";1,52;NA
"TOTAL";"BE22";"A";"1991";1,52;NA
"TOTAL";"BE22";"A";"1990";1,49;NA
"TOTAL";"ES13";"A";"2013";1,18;NA
"TOTAL";"ES13";"A";"2012";1,19;NA
"TOTAL";"ES13";"A";"2011";1,22;NA
"TOTAL";"ES13";"A";"2010";1,26;NA
"TOTAL";"ES13";"A";"2009";1,26;NA
"TOTAL";"ES13";"A";"2008";1,32;NA
"TOTAL";"ES13";"A";"2007";1,21;NA
"TOTAL";"ES13";"A";"2006";1,19;NA
"TOTAL";"ES13";"A";"2005";1,21;NA
"TOTAL";"ES13";"A";"2004";1,18;NA
"TOTAL";"ES13";"A";"2003";1,15;NA
"TOTAL";"ES13";"A";"2002";1,09;NA
"TOTAL";"ES13";"A";"2001";1,03;NA
"TOTAL";"ES13";"A";"2000";1,06;NA
"TOTAL";"ES13";"A";"1999";0,98;NA
"TOTAL";"ES13";"A";"1998";0,94;NA
"TOTAL";"ES13";"A";"1997";0,96;NA
"TOTAL";"ES13";"A";"1996";0,95;NA
"TOTAL";"ES13";"A";"1995";0,92;NA
"TOTAL";"ES13";"A";"1994";0,94;NA
"TOTAL";"ES13";"A";"1993";1,03;NA
"TOTAL";"ES13";"A";"1992";1,08;NA
"TOTAL";"ES13";"A";"1991";1,09;NA
"TOTAL";"ES13";"A";"1990";1,15;NA
"TOTAL";"ITH1";"A";"2013";1,65;NA
"TOTAL";"ITH1";"A";"2012";1,67;NA
"TOTAL";"ITH1";"A";"2011";1,62;NA
"TOTAL";"ITH1";"A";"2010";1,63;NA
"TOTAL";"ITH1";"A";"2009";1,57;NA
"TOTAL";"ITH1";"A";"2008";1,62;NA
"TOTAL";"ITH1";"A";"2007";1,62;NA
"TOTAL";"ITH1";"A";"2006";1,58;NA
"TOTAL";"ITH1";"A";"2005";1,6;NA
"TOTAL";"ITH1";"A";"2004";1,56;NA
"TOTAL";"ITH1";"A";"2003";1,52;NA
"TOTAL";"ITH1";"A";"2002";1,45;NA
"TOTAL";"ITH1";"A";"2001";1,51;NA
"TOTAL";"ITH1";"A";"2000";1,48;NA
"TOTAL";"ITH1";"A";"1999";1,51;NA
"TOTAL";"ITH1";"A";"1998";1,47;NA
"TOTAL";"ITH1";"A";"1997";1,48;NA
"TOTAL";"ITH1";"A";"1996";1,47;NA
"TOTAL";"ITH1";"A";"1995";1,4;NA
"TOTAL";"ITH1";"A";"1994";1,43;NA
"TOTAL";"ITH1";"A";"1993";1,45;NA
"TOTAL";"ITH1";"A";"1992";1,5;NA
"TOTAL";"ITH1";"A";"1991";1,53;NA
"TOTAL";"ITH1";"A";"1990";1,5;NA
"TOTAL";"ITH2";"A";"2013";1,6;NA
"TOTAL";"ITH2";"A";"2012";1,6;NA
"TOTAL";"ITH2";"A";"2011";1,62;NA
"TOTAL";"ITH2";"A";"2010";1,66;NA
"TOTAL";"ITH2";"A";"2009";1,61;NA
"TOTAL";"ITH2";"A";"2008";1,61;NA
"TOTAL";"ITH2";"A";"2007";1,53;NA
"TOTAL";"ITH2";"A";"2006";1,52;NA
"TOTAL";"ITH2";"A";"2005";1,5;NA
"TOTAL";"ITH2";"A";"2004";1,55;NA
"TOTAL";"ITH2";"A";"2003";1,41;NA
"TOTAL";"ITH2";"A";"2002";1,44;NA
"TOTAL";"ITH2";"A";"2001";1,4;NA
"TOTAL";"ITH2";"A";"2000";1,43;NA
"TOTAL";"ITH2";"A";"1999";1,39;NA
"TOTAL";"ITH2";"A";"1998";1,36;NA
"TOTAL";"ITH2";"A";"1997";1,28;NA
"TOTAL";"ITH2";"A";"1996";1,29;NA
"TOTAL";"ITH2";"A";"1995";1,27;NA
"TOTAL";"ITH2";"A";"1994";1,24;NA
"TOTAL";"ITH2";"A";"1993";1,25;NA
"TOTAL";"ITH2";"A";"1992";1,34;NA
"TOTAL";"ITH2";"A";"1991";1,24;NA
"TOTAL";"ITH2";"A";"1990";1,29;NA
"TOTAL";"MT";"A";"2013";1,38;NA
"TOTAL";"MT";"A";"2012";1,43;NA
"TOTAL";"MT";"A";"2011";1,45;NA
"TOTAL";"MT";"A";"2010";1,36;NA
"TOTAL";"MT";"A";"2009";1,42;NA
"TOTAL";"MT";"A";"2008";1,43;NA
"TOTAL";"MT";"A";"2007";1,35;NA
"TOTAL";"MT";"A";"2006";1,36;NA
"TOTAL";"MT";"A";"2005";1,38;NA
"TOTAL";"MT";"A";"2004";1,4;NA
"TOTAL";"MT";"A";"2003";1,48;NA
"TOTAL";"MT";"A";"2002";1,45;NA
"TOTAL";"MT";"A";"2001";1,48;NA
"TOTAL";"MT";"A";"2000";1,7;NA
"TOTAL";"MT";"A";"1999";1,77;NA
"TOTAL";"MT";"A";"1998";1,88;NA
"TOTAL";"MT";"A";"1997";1,98;NA
"TOTAL";"MT";"A";"1996";2,03;NA
"TOTAL";"MT";"A";"1995";1,81;NA
"TOTAL";"MT";"A";"1994";1,88;NA
"TOTAL";"MT";"A";"1993";2;NA
"TOTAL";"MT";"A";"1992";2,11;NA
"TOTAL";"MT";"A";"1991";2,04;NA
"TOTAL";"MT";"A";"1990";2,04;NA
"TOTAL";"NL12";"A";"2013";1,84;NA
"TOTAL";"NL12";"A";"2012";1,89;NA
"TOTAL";"NL12";"A";"2011";1,91;NA
"TOTAL";"NL12";"A";"2010";2;NA
"TOTAL";"NL12";"A";"2009";2;NA
"TOTAL";"NL12";"A";"2008";1,95;NA
"TOTAL";"NL12";"A";"2007";1,91;NA
"TOTAL";"NL12";"A";"2006";1,91;NA
"TOTAL";"NL12";"A";"2005";1,9;NA
"TOTAL";"NL12";"A";"2004";1,89;NA
"TOTAL";"NL12";"A";"2003";1,93;NA
"TOTAL";"NL12";"A";"2002";1,9;NA
"TOTAL";"NL12";"A";"2001";1,86;NA
"TOTAL";"NL12";"A";"2000";NA;"na"
"TOTAL";"NL12";"A";"1999";NA;"na"
"TOTAL";"NL12";"A";"1998";NA;"na"
"TOTAL";"NL12";"A";"1997";NA;"na"
"TOTAL";"NL12";"A";"1996";NA;"na"
"TOTAL";"NL12";"A";"1995";NA;"na"
"TOTAL";"NL12";"A";"1994";NA;"na"
"TOTAL";"NL12";"A";"1993";NA;"na"
"TOTAL";"NL12";"A";"1992";NA;"na"
"TOTAL";"NL12";"A";"1991";NA;"na"
"TOTAL";"NL12";"A";"1990";NA;"na"
"TOTAL";"NL13";"A";"2013";1,78;NA
"TOTAL";"NL13";"A";"2012";1,86;NA
"TOTAL";"NL13";"A";"2011";1,92;NA
"TOTAL";"NL13";"A";"2010";1,95;NA
"TOTAL";"NL13";"A";"2009";2,02;NA
"TOTAL";"NL13";"A";"2008";1,94;NA
"TOTAL";"NL13";"A";"2007";1,88;NA
"TOTAL";"NL13";"A";"2006";1,89;NA
"TOTAL";"NL13";"A";"2005";1,87;NA
"TOTAL";"NL13";"A";"2004";1,88;NA
"TOTAL";"NL13";"A";"2003";1,9;NA
"TOTAL";"NL13";"A";"2002";1,93;NA
"TOTAL";"NL13";"A";"2001";1,9;NA
"TOTAL";"NL13";"A";"2000";NA;"na"
"TOTAL";"NL13";"A";"1999";NA;"na"
"TOTAL";"NL13";"A";"1998";NA;"na"
"TOTAL";"NL13";"A";"1997";NA;"na"
"TOTAL";"NL13";"A";"1996";NA;"na"
"TOTAL";"NL13";"A";"1995";NA;"na"
"TOTAL";"NL13";"A";"1994";NA;"na"
"TOTAL";"NL13";"A";"1993";NA;"na"
"TOTAL";"NL13";"A";"1992";NA;"na"
"TOTAL";"NL13";"A";"1991";NA;"na"
"TOTAL";"NL13";"A";"1990";NA;"na"
"TOTAL";"NL34";"A";"2013";1,83;NA
"TOTAL";"NL34";"A";"2012";1,89;NA
"TOTAL";"NL34";"A";"2011";1,94;NA
"TOTAL";"NL34";"A";"2010";1,89;NA
"TOTAL";"NL34";"A";"2009";1,88;NA
"TOTAL";"NL34";"A";"2008";1,94;NA
"TOTAL";"NL34";"A";"2007";1,83;NA
"TOTAL";"NL34";"A";"2006";1,82;NA
"TOTAL";"NL34";"A";"2005";1,83;NA
"TOTAL";"NL34";"A";"2004";1,86;NA
"TOTAL";"NL34";"A";"2003";1,87;NA
"TOTAL";"NL34";"A";"2002";1,84;NA
"TOTAL";"NL34";"A";"2001";1,83;NA
"TOTAL";"NL34";"A";"2000";NA;"na"
"TOTAL";"NL34";"A";"1999";NA;"na"
"TOTAL";"NL34";"A";"1998";NA;"na"
"TOTAL";"NL34";"A";"1997";NA;"na"
"TOTAL";"NL34";"A";"1996";NA;"na"
"TOTAL";"NL34";"A";"1995";NA;"na"
"TOTAL";"NL34";"A";"1994";NA;"na"
"TOTAL";"NL34";"A";"1993";NA;"na"
"TOTAL";"NL34";"A";"1992";NA;"na"
"TOTAL";"NL34";"A";"1991";NA;"na"
"TOTAL";"NL34";"A";"1990";NA;"na"
"TOTAL";"UKC1";"A";"2013";1,84;NA
"TOTAL";"UKC1";"A";"2012";1,95;NA
"TOTAL";"UKC1";"A";"2011";1,97;NA
"TOTAL";"UKC1";"A";"2010";1,99;NA
"TOTAL";"UKC1";"A";"2009";1,91;NA
"TOTAL";"UKC1";"A";"2008";1,94;NA
"TOTAL";"UKC1";"A";"2007";1,91;NA
"TOTAL";"UKC1";"A";"2006";1,89;NA
"TOTAL";"UKC1";"A";"2005";1,84;NA
"TOTAL";"UKC1";"A";"2004";1,82;NA
"TOTAL";"UKC1";"A";"2003";1,72;NA
"TOTAL";"UKC1";"A";"2002";1,65;NA
"TOTAL";"UKC1";"A";"2001";1,6;NA
"TOTAL";"UKC1";"A";"2000";1,62;NA
"TOTAL";"UKC1";"A";"1999";NA;"na"
"TOTAL";"UKC1";"A";"1998";NA;"na"
"TOTAL";"UKC1";"A";"1997";NA;"na"
"TOTAL";"UKC1";"A";"1996";NA;"na"
"TOTAL";"UKC1";"A";"1995";NA;"na"
"TOTAL";"UKC1";"A";"1994";NA;"na"
"TOTAL";"UKC1";"A";"1993";NA;"na"
"TOTAL";"UKC1";"A";"1992";NA;"na"
"TOTAL";"UKC1";"A";"1991";NA;"na"
"TOTAL";"UKC1";"A";"1990";NA;"na"
"TOTAL";"UKE2";"A";"2013";1,71;NA
"TOTAL";"UKE2";"A";"2012";1,8;NA
"TOTAL";"UKE2";"A";"2011";1,82;NA
"TOTAL";"UKE2";"A";"2010";1,79;NA
"TOTAL";"UKE2";"A";"2009";1,82;NA
"TOTAL";"UKE2";"A";"2008";1,85;NA
"TOTAL";"UKE2";"A";"2007";1,73;NA
"TOTAL";"UKE2";"A";"2006";1,71;NA
"TOTAL";"UKE2";"A";"2005";1,67;NA
"TOTAL";"UKE2";"A";"2004";1,66;NA
"TOTAL";"UKE2";"A";"2003";1,62;NA
"TOTAL";"UKE2";"A";"2002";1,54;NA
"TOTAL";"UKE2";"A";"2001";1,55;NA
"TOTAL";"UKE2";"A";"2000";1,58;NA
"TOTAL";"UKE2";"A";"1999";NA;"na"
"TOTAL";"UKE2";"A";"1998";NA;"na"
"TOTAL";"UKE2";"A";"1997";NA;"na"
"TOTAL";"UKE2";"A";"1996";NA;"na"
"TOTAL";"UKE2";"A";"1995";NA;"na"
"TOTAL";"UKE2";"A";"1994";NA;"na"
"TOTAL";"UKE2";"A";"1993";NA;"na"
"TOTAL";"UKE2";"A";"1992";NA;"na"
"TOTAL";"UKE2";"A";"1991";NA;"na"
"TOTAL";"UKE2";"A";"1990";NA;"na"
