"INDIC_DE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NATGROWRT";"AT32";"A";"2014";NA;"na";NA
"NATGROWRT";"AT32";"A";"2013";1,4;NA;NA
"NATGROWRT";"AT32";"A";"2012";1,6;NA;NA
"NATGROWRT";"AT32";"A";"2011";1,5;NA;NA
"NATGROWRT";"AT32";"A";"2010";1,8;NA;NA
"NATGROWRT";"AT32";"A";"2009";1,3;NA;NA
"NATGROWRT";"AT32";"A";"2008";2,2;NA;NA
"NATGROWRT";"AT32";"A";"2007";1,9;NA;NA
"NATGROWRT";"AT32";"A";"2006";1,8;NA;NA
"NATGROWRT";"AT32";"A";"2005";2,1;NA;NA
"NATGROWRT";"AT32";"A";"2004";2,5;NA;NA
"NATGROWRT";"AT32";"A";"2003";1,7;NA;NA
"NATGROWRT";"AT32";"A";"2002";2,3;NA;NA
"NATGROWRT";"AT32";"A";"2001";2,1;NA;NA
"NATGROWRT";"AT32";"A";"2000";2,3;NA;NA
"NATGROWRT";"AT33";"A";"2014";NA;"na";NA
"NATGROWRT";"AT33";"A";"2013";1,8;NA;NA
"NATGROWRT";"AT33";"A";"2012";1,8;NA;NA
"NATGROWRT";"AT33";"A";"2011";2;NA;NA
"NATGROWRT";"AT33";"A";"2010";1,9;NA;NA
"NATGROWRT";"AT33";"A";"2009";1,8;NA;NA
"NATGROWRT";"AT33";"A";"2008";2,2;NA;NA
"NATGROWRT";"AT33";"A";"2007";2,1;NA;NA
"NATGROWRT";"AT33";"A";"2006";2,7;NA;NA
"NATGROWRT";"AT33";"A";"2005";2,5;NA;NA
"NATGROWRT";"AT33";"A";"2004";2,8;NA;NA
"NATGROWRT";"AT33";"A";"2003";2,5;NA;NA
"NATGROWRT";"AT33";"A";"2002";3;NA;NA
"NATGROWRT";"AT33";"A";"2001";2,5;NA;NA
"NATGROWRT";"AT33";"A";"2000";3;NA;NA
"NATGROWRT";"BE22";"A";"2014";NA;"na";NA
"NATGROWRT";"BE22";"A";"2013";1,6;NA;NA
"NATGROWRT";"BE22";"A";"2012";1,9;NA;NA
"NATGROWRT";"BE22";"A";"2011";2,6;NA;NA
"NATGROWRT";"BE22";"A";"2010";2,7;NA;NA
"NATGROWRT";"BE22";"A";"2009";2,5;NA;NA
"NATGROWRT";"BE22";"A";"2008";2,6;NA;NA
"NATGROWRT";"BE22";"A";"2007";2,7;NA;NA
"NATGROWRT";"BE22";"A";"2006";2,5;NA;NA
"NATGROWRT";"BE22";"A";"2005";2,1;NA;NA
"NATGROWRT";"BE22";"A";"2004";2,2;NA;NA
"NATGROWRT";"BE22";"A";"2003";1,1;NA;NA
"NATGROWRT";"BE22";"A";"2002";1,7;NA;NA
"NATGROWRT";"BE22";"A";"2001";2,4;NA;NA
"NATGROWRT";"BE22";"A";"2000";2,3;NA;NA
"NATGROWRT";"ES13";"A";"2014";NA;"na";NA
"NATGROWRT";"ES13";"A";"2013";-1,3;NA;NA
"NATGROWRT";"ES13";"A";"2012";-1,3;NA;NA
"NATGROWRT";"ES13";"A";"2011";-0,4;NA;NA
"NATGROWRT";"ES13";"A";"2010";0,2;NA;NA
"NATGROWRT";"ES13";"A";"2009";0,2;NA;NA
"NATGROWRT";"ES13";"A";"2008";0,6;NA;NA
"NATGROWRT";"ES13";"A";"2007";-0,4;NA;NA
"NATGROWRT";"ES13";"A";"2006";-0,4;NA;NA
"NATGROWRT";"ES13";"A";"2005";-0,2;NA;NA
"NATGROWRT";"ES13";"A";"2004";-0,2;NA;NA
"NATGROWRT";"ES13";"A";"2003";-1,3;NA;NA
"NATGROWRT";"ES13";"A";"2002";-1,7;NA;NA
