"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"TOTAL";"T";"AT32";"A";"2013";4414;NA
"TOTAL";"T";"AT32";"A";"2012";4221;NA
"TOTAL";"T";"AT32";"A";"2011";4281;NA
"TOTAL";"T";"AT32";"A";"2010";4162;NA
"TOTAL";"T";"AT32";"A";"2009";4174;NA
"TOTAL";"T";"AT32";"A";"2008";3930;NA
"TOTAL";"T";"AT32";"A";"2007";4025;NA
"TOTAL";"T";"AT32";"A";"2006";4047;NA
"TOTAL";"T";"AT32";"A";"2005";4155;NA
"TOTAL";"T";"AT32";"A";"2004";4008;NA
"TOTAL";"T";"AT32";"A";"2003";4278;NA
"TOTAL";"T";"AT32";"A";"2002";4182;NA
"TOTAL";"T";"AT32";"A";"2001";4109;NA
"TOTAL";"T";"AT32";"A";"2000";4176;NA
"TOTAL";"T";"AT32";"A";"1999";4114;NA
"TOTAL";"T";"AT32";"A";"1998";4087;NA
"TOTAL";"T";"AT32";"A";"1997";4123;NA
"TOTAL";"T";"AT32";"A";"1996";4054;NA
"TOTAL";"T";"AT32";"A";"1995";NA;"na"
"TOTAL";"T";"AT32";"A";"1994";4033;NA
"TOTAL";"T";"AT32";"A";"1993";4160;NA
"TOTAL";"T";"AT32";"A";"1992";3956;NA
"TOTAL";"T";"AT32";"A";"1991";4025;NA
"TOTAL";"T";"AT32";"A";"1990";4066;NA
"TOTAL";"T";"AT33";"A";"2013";5643;NA
"TOTAL";"T";"AT33";"A";"2012";5606;NA
"TOTAL";"T";"AT33";"A";"2011";5328;NA
"TOTAL";"T";"AT33";"A";"2010";5449;NA
"TOTAL";"T";"AT33";"A";"2009";5375;NA
"TOTAL";"T";"AT33";"A";"2008";5191;NA
"TOTAL";"T";"AT33";"A";"2007";5157;NA
"TOTAL";"T";"AT33";"A";"2006";4993;NA
"TOTAL";"T";"AT33";"A";"2005";5153;NA
"TOTAL";"T";"AT33";"A";"2004";5051;NA
"TOTAL";"T";"AT33";"A";"2003";5113;NA
