"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"Y_LT1";"T";"AT32";"A";"2014";82,6;NA
"Y_LT1";"T";"AT32";"A";"2013";82,2;NA
"Y_LT1";"T";"AT32";"A";"2012";82,1;NA
"Y_LT1";"T";"AT32";"A";"2011";81,9;NA
"Y_LT1";"T";"AT32";"A";"2010";81,6;NA
"Y_LT1";"T";"AT32";"A";"2009";81,4;NA
"Y_LT1";"T";"AT32";"A";"2008";81,9;NA
"Y_LT1";"T";"AT32";"A";"2007";81,3;NA
"Y_LT1";"T";"AT32";"A";"2006";81;NA
"Y_LT1";"T";"AT32";"A";"2005";79,8;NA
"Y_LT1";"T";"AT32";"A";"2004";80,1;NA
"Y_LT1";"T";"AT32";"A";"2003";79,3;NA
"Y_LT1";"T";"AT32";"A";"2002";79,3;NA
"Y_LT1";"T";"AT32";"A";"2001";79,3;NA
"Y_LT1";"T";"AT32";"A";"2000";78,8;NA
"Y_LT1";"T";"AT32";"A";"1999";78,9;NA
"Y_LT1";"T";"AT32";"A";"1998";78,9;NA
"Y_LT1";"T";"AT32";"A";"1997";78,3;NA
"Y_LT1";"T";"AT32";"A";"1996";78,2;NA
"Y_LT1";"T";"AT32";"A";"1995";NA;"na"
"Y_LT1";"T";"AT32";"A";"1994";77,6;NA
"Y_LT1";"T";"AT32";"A";"1993";77,2;NA
"Y_LT1";"T";"AT32";"A";"1992";77,4;NA
"Y_LT1";"T";"AT32";"A";"1991";77;NA
"Y_LT1";"T";"AT32";"A";"1990";76,5;NA
"Y_LT1";"T";"AT33";"A";"2014";82,8;NA
"Y_LT1";"T";"AT33";"A";"2013";82,4;NA
"Y_LT1";"T";"AT33";"A";"2012";82,2;NA
"Y_LT1";"T";"AT33";"A";"2011";82,3;NA
"Y_LT1";"T";"AT33";"A";"2010";81,9;NA
"Y_LT1";"T";"AT33";"A";"2009";81,6;NA
"Y_LT1";"T";"AT33";"A";"2008";81,8;NA
"Y_LT1";"T";"AT33";"A";"2007";81,5;NA
"Y_LT1";"T";"AT33";"A";"2006";81,4;NA
"Y_LT1";"T";"AT33";"A";"2005";80,7;NA
"Y_LT1";"T";"AT33";"A";"2004";80,6;NA
"Y_LT1";"T";"AT33";"A";"2003";80,3;NA
"Y_LT1";"T";"AT33";"A";"2002";80,2;NA
"Y_LT1";"T";"AT33";"A";"2001";79,8;NA
"Y_LT1";"T";"AT33";"A";"2000";79,6;NA
"Y_LT1";"T";"AT33";"A";"1999";79,4;NA
"Y_LT1";"T";"AT33";"A";"1998";79;NA
"Y_LT1";"T";"AT33";"A";"1997";78,7;NA
"Y_LT1";"T";"AT33";"A";"1996";78,5;NA
"Y_LT1";"T";"AT33";"A";"1995";NA;"na"
"Y_LT1";"T";"AT33";"A";"1994";77,8;NA
"Y_LT1";"T";"AT33";"A";"1993";77,7;NA
"Y_LT1";"T";"AT33";"A";"1992";77,4;NA
"Y_LT1";"T";"AT33";"A";"1991";77,3;NA
"Y_LT1";"T";"AT33";"A";"1990";76,7;NA
"Y_LT1";"T";"AT34";"A";"2014";83,1;NA
"Y_LT1";"T";"AT34";"A";"2013";82,3;NA
"Y_LT1";"T";"AT34";"A";"2012";82,2;NA
"Y_LT1";"T";"AT34";"A";"2011";82,5;NA
"Y_LT1";"T";"AT34";"A";"2010";82;NA
"Y_LT1";"T";"AT34";"A";"2009";81,7;NA
"Y_LT1";"T";"AT34";"A";"2008";81,6;NA
"Y_LT1";"T";"AT34";"A";"2007";81,2;NA
"Y_LT1";"T";"AT34";"A";"2006";80,8;NA
"Y_LT1";"T";"AT34";"A";"2005";80,8;NA
"Y_LT1";"T";"AT34";"A";"2004";80,2;NA
"Y_LT1";"T";"AT34";"A";"2003";79,6;NA
"Y_LT1";"T";"AT34";"A";"2002";80,1;NA
"Y_LT1";"T";"AT34";"A";"2001";79,5;NA
"Y_LT1";"T";"AT34";"A";"2000";79,8;NA
"Y_LT1";"T";"AT34";"A";"1999";79,1;NA
"Y_LT1";"T";"AT34";"A";"1998";79;NA
"Y_LT1";"T";"AT34";"A";"1997";79,1;NA
"Y_LT1";"T";"AT34";"A";"1996";78,7;NA
"Y_LT1";"T";"AT34";"A";"1995";NA;"na"
"Y_LT1";"T";"AT34";"A";"1994";78,2;NA
"Y_LT1";"T";"AT34";"A";"1993";77,7;NA
"Y_LT1";"T";"AT34";"A";"1992";77,4;NA
"Y_LT1";"T";"AT34";"A";"1991";77,1;NA
"Y_LT1";"T";"AT34";"A";"1990";76,9;NA
"Y_LT1";"T";"CH07";"A";"2014";84,6;NA
"Y_LT1";"T";"CH07";"A";"2013";83,8;NA
"Y_LT1";"T";"CH07";"A";"2012";83,8;NA
"Y_LT1";"T";"CH07";"A";"2011";84;NA
"Y_LT1";"T";"CH07";"A";"2010";83,3;NA
"Y_LT1";"T";"CH07";"A";"2009";83,7;NA
"Y_LT1";"T";"CH07";"A";"2008";83,8;NA
"Y_LT1";"T";"CH07";"A";"2007";83,3;NA
"Y_LT1";"T";"CH07";"A";"2006";82,8;NA
"Y_LT1";"T";"CH07";"A";"2005";82,4;NA
"Y_LT1";"T";"CH07";"A";"2004";82,5;NA
"Y_LT1";"T";"CH07";"A";"2003";82;NA
"Y_LT1";"T";"CH07";"A";"2002";81,6;NA
"Y_LT1";"T";"CH07";"A";"2001";81,5;NA
"Y_LT1";"T";"CH07";"A";"2000";81,2;NA
"Y_LT1";"T";"CH07";"A";"1999";81,2;NA
"Y_LT1";"T";"CH07";"A";"1998";80,8;NA
"Y_LT1";"T";"CH07";"A";"1997";80,2;NA
"Y_LT1";"T";"CH07";"A";"1996";80,1;NA
"Y_LT1";"T";"CH07";"A";"1995";79,9;NA
"Y_LT1";"T";"CH07";"A";"1994";79,7;NA
"Y_LT1";"T";"CH07";"A";"1993";79,4;NA
"Y_LT1";"T";"CH07";"A";"1992";78,9;NA
"Y_LT1";"T";"CH07";"A";"1991";78,7;NA
"Y_LT1";"T";"CH07";"A";"1990";NA;"na"
"Y_LT1";"T";"DE2";"A";"2014";81,8;NA
"Y_LT1";"T";"DE2";"A";"2013";81,5;NA
"Y_LT1";"T";"DE2";"A";"2012";81,4;NA
"Y_LT1";"T";"DE2";"A";"2011";81,2;NA
"Y_LT1";"T";"DE2";"A";"2010";81;NA
"Y_LT1";"T";"DE2";"A";"2009";80,8;NA
"Y_LT1";"T";"DE2";"A";"2008";80,6;NA
"Y_LT1";"T";"DE2";"A";"2007";80,5;NA
"Y_LT1";"T";"DE2";"A";"2006";80,2;NA
"Y_LT1";"T";"DE2";"A";"2005";79,8;NA
"Y_LT1";"T";"DE2";"A";"2004";79,8;NA
"Y_LT1";"T";"DE2";"A";"2003";79,1;NA
"Y_LT1";"T";"DE2";"A";"2002";79;NA
"Y_LT1";"T";"DE2";"A";"2001";NA;"na"
"Y_LT1";"T";"DE2";"A";"2000";NA;"na"
"Y_LT1";"T";"DE2";"A";"1999";NA;"na"
"Y_LT1";"T";"DE2";"A";"1998";NA;"na"
"Y_LT1";"T";"DE2";"A";"1997";NA;"na"
"Y_LT1";"T";"DE2";"A";"1996";NA;"na"
"Y_LT1";"T";"DE2";"A";"1995";NA;"na"
"Y_LT1";"T";"DE2";"A";"1994";NA;"na"
"Y_LT1";"T";"DE2";"A";"1993";NA;"na"
"Y_LT1";"T";"DE2";"A";"1992";NA;"na"
"Y_LT1";"T";"DE2";"A";"1991";NA;"na"
"Y_LT1";"T";"DE2";"A";"1990";NA;"na"
"Y_LT1";"T";"ITC4";"A";"2014";83,9;NA
"Y_LT1";"T";"ITC4";"A";"2013";83,5;NA
"Y_LT1";"T";"ITC4";"A";"2012";82,8;NA
"Y_LT1";"T";"ITC4";"A";"2011";83;NA
"Y_LT1";"T";"ITC4";"A";"2010";82,6;NA
"Y_LT1";"T";"ITC4";"A";"2009";82,2;NA
"Y_LT1";"T";"ITC4";"A";"2008";81,9;NA
"Y_LT1";"T";"ITC4";"A";"2007";82;NA
"Y_LT1";"T";"ITC4";"A";"2006";81,7;NA
"Y_LT1";"T";"ITC4";"A";"2005";81,2;NA
"Y_LT1";"T";"ITC4";"A";"2004";81,2;NA
"Y_LT1";"T";"ITC4";"A";"2003";80,2;NA
"Y_LT1";"T";"ITC4";"A";"2002";80,5;NA
"Y_LT1";"T";"ITC4";"A";"2001";80,3;NA
"Y_LT1";"T";"ITC4";"A";"2000";80,2;NA
"Y_LT1";"T";"ITC4";"A";"1999";79,6;NA
"Y_LT1";"T";"ITC4";"A";"1998";79,2;NA
"Y_LT1";"T";"ITC4";"A";"1997";78,9;NA
"Y_LT1";"T";"ITC4";"A";"1996";78,4;NA
"Y_LT1";"T";"ITC4";"A";"1995";78;NA
"Y_LT1";"T";"ITC4";"A";"1994";77,9;NA
"Y_LT1";"T";"ITC4";"A";"1993";77,5;NA
"Y_LT1";"T";"ITC4";"A";"1992";77,3;NA
"Y_LT1";"T";"ITC4";"A";"1991";76,7;NA
"Y_LT1";"T";"ITC4";"A";"1990";76,5;NA
"Y_LT1";"T";"ITH";"A";"2014";83,7;NA
"Y_LT1";"T";"ITH";"A";"2013";83,4;NA
"Y_LT1";"T";"ITH";"A";"2012";83;NA
"Y_LT1";"T";"ITH";"A";"2011";83,1;NA
"Y_LT1";"T";"ITH";"A";"2010";82,9;NA
"Y_LT1";"T";"ITH";"A";"2009";82,6;NA
"Y_LT1";"T";"ITH";"A";"2008";82,2;NA
"Y_LT1";"T";"ITH";"A";"2007";82,2;NA
"Y_LT1";"T";"ITH";"A";"2006";82;NA
"Y_LT1";"T";"ITH";"A";"2005";81,5;NA
"Y_LT1";"T";"ITH";"A";"2004";81,4;NA
"Y_LT1";"T";"ITH";"A";"2003";80,7;NA
"Y_LT1";"T";"ITH";"A";"2002";80,9;NA
