"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG"
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2014";34,5;"b"
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2013";28,9;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2012";27,8;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2011";21,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2010";18,1;"u"
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2009";19,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2008";20,9;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2007";20,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2006";20,9;"b"
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2005";21,3;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2004";18,3;"b"
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2003";16;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2002";14,8;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2001";18,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2000";18,8;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2014";43,7;"b"
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2013";25,5;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2012";24,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2011";26,5;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2010";23,7;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2009";22,1;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2008";21,5;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2007";19,7;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2006";18,9;"b"
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2005";17,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2004";18,5;"b"
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2003";19,3;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2002";16,4;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2001";12,8;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2000";10,5;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2014";38,3;"b"
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2013";39,3;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2012";39,7;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2011";38,7;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2010";34,1;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2009";36;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2008";37,5;"b"
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2007";34,7;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2006";38;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2005";34,4;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2004";37,4;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2003";28,7;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2002";30,2;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2001";30,1;NA
"ED5-8";"PC";"Y30-34";"T";"BE22";"A";"2000";29,7;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2014";43,9;"b"
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2013";46,4;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2012";45,2;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2011";43,6;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2010";44,3;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2009";46,2;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2008";47,1;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2007";48;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2006";42,2;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2005";43,9;"b"
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2004";40,7;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2003";41,4;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2002";32,8;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2001";31,5;NA
"ED5-8";"PC";"Y30-34";"T";"ES13";"A";"2000";27,4;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2014";22,7;"b"
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2013";24,2;NA
