"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y18-24";"T";"AT32";"A";"2014";NA;"na";"bu"
"PC";"Y18-24";"T";"AT32";"A";"2013";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2012";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2011";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2010";7,8;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2009";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2008";7,5;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2007";10,4;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2006";8,8;NA;"bu"
"PC";"Y18-24";"T";"AT32";"A";"2005";7,4;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2004";NA;"na";"bu"
"PC";"Y18-24";"T";"AT32";"A";"2003";8,4;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2002";11,9;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2001";11,3;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2000";10,3;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2014";7,1;NA;"bu"
"PC";"Y18-24";"T";"AT33";"A";"2013";6,4;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2012";9,6;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2011";10,9;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2010";9;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2009";9,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2008";9,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2007";10,5;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2006";11,7;NA;"b"
"PC";"Y18-24";"T";"AT33";"A";"2005";8,6;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2004";9,8;NA;"bu"
"PC";"Y18-24";"T";"AT33";"A";"2003";9,3;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2002";9,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2001";12,7;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2000";10;NA;"u"
"PC";"Y18-24";"T";"BE22";"A";"2014";5,6;NA;"bu"
"PC";"Y18-24";"T";"BE22";"A";"2013";9,6;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2012";8,6;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2011";11;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2010";12,5;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2009";8,9;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2008";8,1;NA;"b"
"PC";"Y18-24";"T";"BE22";"A";"2007";9;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2006";11,4;NA;"b"
"PC";"Y18-24";"T";"BE22";"A";"2005";14;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2004";9,9;NA;"b"
"PC";"Y18-24";"T";"BE22";"A";"2003";12,4;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2002";14;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2001";13,7;NA;NA
"PC";"Y18-24";"T";"BE22";"A";"2000";12,3;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2014";9,7;NA;"bu"
"PC";"Y18-24";"T";"ES13";"A";"2013";12,1;NA;"u"
"PC";"Y18-24";"T";"ES13";"A";"2012";14,2;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2011";21,4;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2010";23,9;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2009";24,2;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2008";22,9;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2007";25,5;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2006";23,5;NA;"b"
"PC";"Y18-24";"T";"ES13";"A";"2005";21,9;NA;"b"
"PC";"Y18-24";"T";"ES13";"A";"2004";26,7;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2003";28,9;NA;"b"
"PC";"Y18-24";"T";"ES13";"A";"2002";26,5;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2001";24,2;NA;NA
"PC";"Y18-24";"T";"ES13";"A";"2000";22,8;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2014";13,1;NA;"b"
"PC";"Y18-24";"T";"ITH1";"A";"2013";16,4;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2012";19,6;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2011";18,1;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2010";22,6;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2009";21;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2008";21,5;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2007";23,2;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2006";23,5;NA;"b"
"PC";"Y18-24";"T";"ITH1";"A";"2005";26,3;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2004";30,6;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2003";32,5;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2002";30,1;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2001";29;NA;NA
"PC";"Y18-24";"T";"ITH1";"A";"2000";18,7;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2014";8,5;NA;"b"
"PC";"Y18-24";"T";"ITH2";"A";"2013";10,8;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2012";11,7;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2011";9,4;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2010";11,8;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2009";12,3;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2008";12,5;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2007";10,5;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2006";10,5;NA;"b"
"PC";"Y18-24";"T";"ITH2";"A";"2005";12,2;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2004";11,9;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2003";12,1;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2002";11,2;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2001";14,5;NA;NA
"PC";"Y18-24";"T";"ITH2";"A";"2000";13,8;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2014";20,3;NA;"b"
"PC";"Y18-24";"T";"MT";"A";"2013";20,5;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2012";21,1;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2011";22,7;NA;"b"
"PC";"Y18-24";"T";"MT";"A";"2010";23,8;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2009";25,7;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2008";27,2;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2007";30,2;NA;NA
"PC";"Y18-24";"T";"MT";"A";"2006";32,2;NA;"b"
"PC";"Y18-24";"T";"MT";"A";"2005";33;NA;"b"
"PC";"Y18-24";"T";"MT";"A";"2004";42,1;NA;"d"
"PC";"Y18-24";"T";"MT";"A";"2003";49,9;NA;"d"
"PC";"Y18-24";"T";"MT";"A";"2002";53,2;NA;"d"
"PC";"Y18-24";"T";"MT";"A";"2001";54,4;NA;"d"
"PC";"Y18-24";"T";"MT";"A";"2000";54,2;NA;"d"
"PC";"Y18-24";"T";"NL12";"A";"2014";11,2;NA;"b"
"PC";"Y18-24";"T";"NL12";"A";"2013";10,7;NA;"b"
"PC";"Y18-24";"T";"NL12";"A";"2012";8,4;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2011";9,5;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2010";13,3;NA;"b"
"PC";"Y18-24";"T";"NL12";"A";"2009";12,4;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2008";11,1;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2007";14,1;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2006";10,1;NA;"b"
"PC";"Y18-24";"T";"NL12";"A";"2005";12,9;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2004";12,1;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2003";13,6;NA;"b"
"PC";"Y18-24";"T";"NL12";"A";"2002";13,9;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2001";13;NA;NA
"PC";"Y18-24";"T";"NL12";"A";"2000";14,8;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2014";11,8;NA;"b"
"PC";"Y18-24";"T";"NL13";"A";"2013";8,9;NA;"b"
"PC";"Y18-24";"T";"NL13";"A";"2012";10,8;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2011";11,2;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2010";14,7;NA;"b"
"PC";"Y18-24";"T";"NL13";"A";"2009";14,3;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2008";11,4;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2007";13,1;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2006";16,6;NA;"b"
"PC";"Y18-24";"T";"NL13";"A";"2005";16,9;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2004";20,2;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2003";18,7;NA;"b"
"PC";"Y18-24";"T";"NL13";"A";"2002";17,9;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2001";16,7;NA;NA
"PC";"Y18-24";"T";"NL13";"A";"2000";11,5;NA;"u"
"PC";"Y18-24";"T";"NL34";"A";"2014";14,2;NA;"b"
"PC";"Y18-24";"T";"NL34";"A";"2013";17,1;NA;"b"
"PC";"Y18-24";"T";"NL34";"A";"2012";13,8;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2011";13;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2010";16,9;NA;"b"
"PC";"Y18-24";"T";"NL34";"A";"2009";16,7;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2008";12,4;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2007";10,5;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2006";10,3;NA;"b"
"PC";"Y18-24";"T";"NL34";"A";"2005";13,2;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2004";15,8;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2003";18;NA;"b"
"PC";"Y18-24";"T";"NL34";"A";"2002";15,1;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2001";13,1;NA;NA
"PC";"Y18-24";"T";"NL34";"A";"2000";17,9;NA;"u"
"PC";"Y18-24";"T";"UKC1";"A";"2014";15;NA;"b"
"PC";"Y18-24";"T";"UKC1";"A";"2013";11,6;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2012";17,9;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2011";16,7;NA;"b"
"PC";"Y18-24";"T";"UKC1";"A";"2010";16,3;NA;"b"
"PC";"Y18-24";"T";"UKC1";"A";"2009";16,3;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2008";19,4;NA;"b"
"PC";"Y18-24";"T";"UKC1";"A";"2007";18,5;NA;"b"
"PC";"Y18-24";"T";"UKC1";"A";"2006";15,2;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2005";16,7;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2004";15,3;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2003";16,9;NA;"b"
"PC";"Y18-24";"T";"UKC1";"A";"2002";24,9;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2001";19,4;NA;NA
"PC";"Y18-24";"T";"UKC1";"A";"2000";25,2;NA;NA
"PC";"Y18-24";"T";"UKE2";"A";"2014";9;NA;"bu"
"PC";"Y18-24";"T";"UKE2";"A";"2013";10,3;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2012";14,6;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2011";14,3;NA;"bu"
"PC";"Y18-24";"T";"UKE2";"A";"2010";14;NA;"bu"
"PC";"Y18-24";"T";"UKE2";"A";"2009";12;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2008";13,5;NA;"bu"
"PC";"Y18-24";"T";"UKE2";"A";"2007";12,3;NA;"bu"
"PC";"Y18-24";"T";"UKE2";"A";"2006";11,7;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2005";8,9;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2004";11,5;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2003";12,2;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2002";14;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2001";14,2;NA;"u"
"PC";"Y18-24";"T";"UKE2";"A";"2000";11,1;NA;"u"
