"WSTATUS";"TYPTRAI";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2015";5;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2014";5,4;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2013";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2012";5,9;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2011";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2010";6,5;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2009";6,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2008";6,6;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2007";6,4;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2006";6,5;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2005";6,6;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2004";6,4;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2003";5,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2002";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2001";5,7;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT32";"A";"2000";8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2015";5,7;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2014";5,8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2013";6,7;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2012";5,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2011";5,7;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2010";6,4;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2009";6,2;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2008";6,5;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2007";6,3;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2006";6,6;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2005";7,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2004";7,8;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2003";4,6;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2002";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2001";8,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT33";"A";"2000";4,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2015";7,2;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2014";8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2013";6,7;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2012";7,6;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2011";7,8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2010";8,2;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2009";8,8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2008";9;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2007";8,1;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2006";7,2;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2005";9,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2004";8,9;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2003";7;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2002";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2001";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"AT34";"A";"2000";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2015";8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2014";9,5;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2013";7,1;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2012";10,9;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2011";10,6;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2010";6,4;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2009";12,9;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2008";8,8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2007";8,9;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2006";8,3;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2005";8,2;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2004";7,1;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2003";7,5;"bu";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2002";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2001";NA;"u";"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"CH07";"A";"2000";NA;NA;"na"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2015";3,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2014";3,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2013";4,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"DE2";"A";"2012";5,1;NA;NA
