"INDIC_ED";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"R05_2";"AT32";"A";"2012";51,6;NA;NA
"R05_2";"AT32";"A";"2011";50,8;NA;NA
"R05_2";"AT32";"A";"2010";51,2;NA;NA
"R05_2";"AT32";"A";"2009";50,6;NA;NA
"R05_2";"AT32";"A";"2008";50,8;NA;NA
"R05_2";"AT32";"A";"2007";50,1;NA;NA
"R05_2";"AT32";"A";"2006";50,4;NA;NA
"R05_2";"AT32";"A";"2005";49,5;NA;NA
"R05_2";"AT32";"A";"2004";47,7;NA;NA
"R05_2";"AT32";"A";"2003";47,4;NA;NA
"R05_2";"AT32";"A";"2002";47,9;NA;NA
"R05_2";"AT32";"A";"2001";48,7;NA;NA
"R05_2";"AT32";"A";"2000";NA;"na";NA
"R05_2";"AT32";"A";"1999";48,4;NA;NA
"R05_2";"AT32";"A";"1998";NA;"na";NA
"R05_2";"AT33";"A";"2012";43,5;NA;NA
"R05_2";"AT33";"A";"2011";43,6;NA;NA
"R05_2";"AT33";"A";"2010";44,1;NA;NA
"R05_2";"AT33";"A";"2009";45,4;NA;NA
"R05_2";"AT33";"A";"2008";45,9;NA;NA
"R05_2";"AT33";"A";"2007";45,9;NA;NA
"R05_2";"AT33";"A";"2006";47,8;NA;NA
"R05_2";"AT33";"A";"2005";47,1;NA;NA
"R05_2";"AT33";"A";"2004";45,7;NA;NA
"R05_2";"AT33";"A";"2003";44,3;NA;NA
"R05_2";"AT33";"A";"2002";44,6;NA;NA
"R05_2";"AT33";"A";"2001";44,8;NA;NA
"R05_2";"AT33";"A";"2000";NA;"na";NA
"R05_2";"AT33";"A";"1999";45,1;NA;NA
"R05_2";"AT33";"A";"1998";NA;"na";NA
"R05_2";"AT34";"A";"2012";44,1;NA;NA
"R05_2";"AT34";"A";"2011";43,7;NA;NA
"R05_2";"AT34";"A";"2010";43;NA;NA
"R05_2";"AT34";"A";"2009";44,1;NA;NA
"R05_2";"AT34";"A";"2008";44,1;NA;NA
"R05_2";"AT34";"A";"2007";42,8;NA;NA
"R05_2";"AT34";"A";"2006";43,4;NA;NA
"R05_2";"AT34";"A";"2005";42,7;NA;NA
"R05_2";"AT34";"A";"2004";41,8;NA;NA
"R05_2";"AT34";"A";"2003";40,7;NA;NA
"R05_2";"AT34";"A";"2002";40,4;NA;NA
"R05_2";"AT34";"A";"2001";40,8;NA;NA
"R05_2";"AT34";"A";"2000";NA;"na";NA
"R05_2";"AT34";"A";"1999";40,5;NA;NA
"R05_2";"AT34";"A";"1998";NA;"na";NA
"R05_2";"CH07";"A";"2012";45,2;NA;NA
"R05_2";"CH07";"A";"2011";45,2;NA;NA
"R05_2";"CH07";"A";"2010";NA;"na";NA
"R05_2";"CH07";"A";"2009";NA;"na";NA
"R05_2";"CH07";"A";"2008";NA;"na";NA
"R05_2";"CH07";"A";"2007";NA;"na";NA
"R05_2";"CH07";"A";"2006";NA;"na";NA
"R05_2";"CH07";"A";"2005";NA;"na";NA
"R05_2";"CH07";"A";"2004";NA;"na";NA
"R05_2";"CH07";"A";"2003";NA;"na";NA
"R05_2";"CH07";"A";"2002";NA;"na";NA
"R05_2";"CH07";"A";"2001";NA;"na";NA
"R05_2";"CH07";"A";"2000";NA;"na";NA
"R05_2";"CH07";"A";"1999";NA;"na";NA
"R05_2";"CH07";"A";"1998";NA;"na";NA
"R05_2";"DE2";"A";"2012";31,9;NA;NA
"R05_2";"DE2";"A";"2011";34,3;NA;NA
"R05_2";"DE2";"A";"2010";34,7;NA;NA
"R05_2";"DE2";"A";"2009";34,3;NA;NA
"R05_2";"DE2";"A";"2008";32,7;NA;NA
"R05_2";"DE2";"A";"2007";32,2;NA;NA
"R05_2";"DE2";"A";"2006";31,8;NA;NA
"R05_2";"DE2";"A";"2005";31,9;NA;NA
"R05_2";"DE2";"A";"2004";31,5;NA;NA
"R05_2";"DE2";"A";"2003";31,8;NA;NA
"R05_2";"DE2";"A";"2002";31,9;NA;NA
"R05_2";"DE2";"A";"2001";32,6;NA;NA
"R05_2";"DE2";"A";"2000";32,7;NA;NA
"R05_2";"DE2";"A";"1999";32,4;NA;NA
"R05_2";"DE2";"A";"1998";31,7;NA;NA
"R05_2";"EU27";"A";"2012";NA;"na";NA
"R05_2";"EU27";"A";"2011";38,9;NA;NA
"R05_2";"EU27";"A";"2010";38,4;NA;NA
"R05_2";"EU27";"A";"2009";NA;"na";NA
"R05_2";"EU27";"A";"2008";NA;"na";NA
"R05_2";"EU27";"A";"2007";37,9;NA;NA
"R05_2";"EU27";"A";"2006";37,7;NA;NA
"R05_2";"EU27";"A";"2005";43,7;NA;NA
