"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2010";207,6;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2009";202,6;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2008";195,3;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2007";201,2;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2006";197,5;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2005";215;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2004";204;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2003";211,4;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2002";200,7;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2001";201,2;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"2000";201,2;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1999";201,5;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1998";205,8;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1997";196,1;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1996";194,4;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1995";207,1;NA
"C00-D48";"RT";"TOTAL";"T";"AT32";"A";"1994";199,5;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2010";208,1;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2009";208,5;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2008";207,5;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2007";209,7;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2006";198,3;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2005";218,2;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2004";205,6;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2003";206;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2002";202,3;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2001";206,4;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"2000";192,2;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1999";199,8;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1998";207,4;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1997";216,6;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1996";206,7;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1995";200;NA
"C00-D48";"RT";"TOTAL";"T";"AT33";"A";"1994";210,5;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2010";241,3;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2009";236,8;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2008";232,6;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2007";230,5;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2006";222,9;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2005";220,5;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2004";212,4;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2003";224;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2002";225,6;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2001";216,1;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"2000";210,8;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"1999";220,9;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"1998";212;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"1997";211,5;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"1996";208,7;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"1995";219,5;NA
"C00-D48";"RT";"TOTAL";"T";"BE22";"A";"1994";205,1;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2010";277,2;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2009";268,9;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2008";269,4;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2007";273,1;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2006";274,1;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2005";249,6;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2004";272,2;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2003";266,6;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2002";279,8;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2001";277,7;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"2000";269,4;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"1999";264,9;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"1998";253,4;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"1997";262;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"1996";265,4;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"1995";263,8;NA
"C00-D48";"RT";"TOTAL";"T";"ES13";"A";"1994";254,8;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2010";237,6;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2009";245;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2008";232,9;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2007";238,8;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2006";244,7;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2005";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2004";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2003";263,9;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2002";240,7;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2001";250,8;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"2000";258,6;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1999";245,6;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1998";245;NA
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1997";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1996";NA;"na"
"C00-D48";"RT";"TOTAL";"T";"ITH1";"A";"1995";NA;"na"
