"UNIT";"WORKTIME";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"THS";"PT";"T";"AT32";"A";"2014";74,8;NA;NA
"THS";"PT";"T";"AT32";"A";"2013";74;NA;NA
"THS";"PT";"T";"AT32";"A";"2012";71,2;NA;NA
"THS";"PT";"T";"AT32";"A";"2011";69,8;NA;NA
"THS";"PT";"T";"AT32";"A";"2010";69,6;NA;NA
"THS";"PT";"T";"AT32";"A";"2009";68,2;NA;NA
"THS";"PT";"T";"AT32";"A";"2008";63,6;NA;NA
"THS";"PT";"T";"AT32";"A";"2007";61,4;"b";NA
"THS";"PT";"T";"AT32";"A";"2006";59,4;NA;NA
"THS";"PT";"T";"AT32";"A";"2005";58,8;"b";NA
"THS";"PT";"T";"AT32";"A";"2004";51,5;"b";NA
"THS";"PT";"T";"AT32";"A";"2003";53,5;NA;NA
"THS";"PT";"T";"AT32";"A";"2002";51,9;NA;NA
"THS";"PT";"T";"AT32";"A";"2001";53;NA;NA
"THS";"PT";"T";"AT32";"A";"2000";48,8;NA;NA
"THS";"PT";"T";"AT32";"A";"1999";46,6;NA;NA
"THS";"PT";"T";"AT33";"A";"2014";106;NA;NA
"THS";"PT";"T";"AT33";"A";"2013";102,4;NA;NA
"THS";"PT";"T";"AT33";"A";"2012";98,5;NA;NA
"THS";"PT";"T";"AT33";"A";"2011";93;NA;NA
"THS";"PT";"T";"AT33";"A";"2010";95,8;NA;NA
"THS";"PT";"T";"AT33";"A";"2009";94,2;NA;NA
"THS";"PT";"T";"AT33";"A";"2008";86,5;NA;NA
"THS";"PT";"T";"AT33";"A";"2007";82,9;"b";NA
"THS";"PT";"T";"AT33";"A";"2006";78,1;NA;NA
"THS";"PT";"T";"AT33";"A";"2005";72,7;"b";NA
"THS";"PT";"T";"AT33";"A";"2004";66,8;"b";NA
"THS";"PT";"T";"AT33";"A";"2003";66,3;NA;NA
"THS";"PT";"T";"AT33";"A";"2002";68;NA;NA
"THS";"PT";"T";"AT33";"A";"2001";56,2;NA;NA
"THS";"PT";"T";"AT33";"A";"2000";58,2;NA;NA
"THS";"PT";"T";"AT33";"A";"1999";52,3;NA;NA
"THS";"PT";"T";"BE22";"A";"2014";102,7;NA;NA
"THS";"PT";"T";"BE22";"A";"2013";107,1;NA;NA
"THS";"PT";"T";"BE22";"A";"2012";104,8;NA;NA
"THS";"PT";"T";"BE22";"A";"2011";109,2;"b";NA
"THS";"PT";"T";"BE22";"A";"2010";100,7;NA;NA
"THS";"PT";"T";"BE22";"A";"2009";96;NA;NA
"THS";"PT";"T";"BE22";"A";"2008";92,5;NA;NA
"THS";"PT";"T";"BE22";"A";"2007";89,2;NA;NA
"THS";"PT";"T";"BE22";"A";"2006";87,2;NA;NA
"THS";"PT";"T";"BE22";"A";"2005";81,2;"b";NA
"THS";"PT";"T";"BE22";"A";"2004";75,6;NA;NA
"THS";"PT";"T";"BE22";"A";"2003";69,2;NA;NA
"THS";"PT";"T";"BE22";"A";"2002";71,3;NA;NA
"THS";"PT";"T";"BE22";"A";"2001";65,9;"b";NA
"THS";"PT";"T";"BE22";"A";"2000";65,8;NA;NA
"THS";"PT";"T";"BE22";"A";"1999";64,3;"b";NA
"THS";"PT";"T";"ES13";"A";"2014";31,3;NA;NA
"THS";"PT";"T";"ES13";"A";"2013";31,6;NA;NA
"THS";"PT";"T";"ES13";"A";"2012";31;NA;NA
"THS";"PT";"T";"ES13";"A";"2011";27,1;NA;NA
"THS";"PT";"T";"ES13";"A";"2010";24,8;NA;NA
"THS";"PT";"T";"ES13";"A";"2009";23,9;NA;NA
"THS";"PT";"T";"ES13";"A";"2008";26;NA;NA
"THS";"PT";"T";"ES13";"A";"2007";24,5;NA;NA
"THS";"PT";"T";"ES13";"A";"2006";25,8;NA;NA
"THS";"PT";"T";"ES13";"A";"2005";26,9;"b";NA
"THS";"PT";"T";"ES13";"A";"2004";10,8;NA;NA
"THS";"PT";"T";"ES13";"A";"2003";9,9;NA;NA
"THS";"PT";"T";"ES13";"A";"2002";9,2;NA;NA
"THS";"PT";"T";"ES13";"A";"2001";13,7;"b";NA
"THS";"PT";"T";"ES13";"A";"2000";8,8;NA;NA
"THS";"PT";"T";"ES13";"A";"1999";8,3;NA;NA
"THS";"PT";"T";"ITH1";"A";"2014";56,2;NA;NA
"THS";"PT";"T";"ITH1";"A";"2013";53,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2012";54,5;NA;NA
"THS";"PT";"T";"ITH1";"A";"2011";48,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2010";48,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2009";44,4;NA;NA
"THS";"PT";"T";"ITH1";"A";"2008";43,6;NA;NA
"THS";"PT";"T";"ITH1";"A";"2007";42,6;NA;NA
"THS";"PT";"T";"ITH1";"A";"2006";39,4;NA;NA
"THS";"PT";"T";"ITH1";"A";"2005";38,9;"b";NA
"THS";"PT";"T";"ITH1";"A";"2004";37,7;"b";NA
"THS";"PT";"T";"ITH1";"A";"2003";35,1;NA;NA
"THS";"PT";"T";"ITH1";"A";"2002";31,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2001";30,7;NA;NA
"THS";"PT";"T";"ITH1";"A";"2000";30,2;NA;NA
"THS";"PT";"T";"ITH1";"A";"1999";26,2;NA;NA
"THS";"PT";"T";"ITH2";"A";"2014";50;NA;NA
"THS";"PT";"T";"ITH2";"A";"2013";46,4;NA;NA
"THS";"PT";"T";"ITH2";"A";"2012";44,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2011";41,8;NA;NA
"THS";"PT";"T";"ITH2";"A";"2010";40,3;NA;NA
"THS";"PT";"T";"ITH2";"A";"2009";40,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2008";42,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2007";38,2;NA;NA
"THS";"PT";"T";"ITH2";"A";"2006";36,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2005";33,8;"b";NA
"THS";"PT";"T";"ITH2";"A";"2004";34,8;"b";NA
"THS";"PT";"T";"ITH2";"A";"2003";18,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2002";18,6;NA;NA
"THS";"PT";"T";"ITH2";"A";"2001";20,8;NA;NA
"THS";"PT";"T";"ITH2";"A";"2000";23,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"1999";16,3;NA;NA
"THS";"PT";"T";"MT";"A";"2014";30,1;NA;NA
"THS";"PT";"T";"MT";"A";"2013";26,7;NA;NA
"THS";"PT";"T";"MT";"A";"2012";24;NA;NA
"THS";"PT";"T";"MT";"A";"2011";22,3;NA;NA
"THS";"PT";"T";"MT";"A";"2010";20,2;NA;NA
"THS";"PT";"T";"MT";"A";"2009";18,4;NA;NA
"THS";"PT";"T";"MT";"A";"2008";18,2;NA;NA
"THS";"PT";"T";"MT";"A";"2007";16,8;NA;NA
