"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"HR";"Y_GE15";"T";"AT32";"A";"2015";36,6;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2014";36,7;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2013";37,1;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2012";37,8;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2011";37,9;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2010";38;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2009";38,3;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2008";38,8;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2007";39,1;"b";NA
"HR";"Y_GE15";"T";"AT32";"A";"2006";39,2;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2005";39;"b";NA
"HR";"Y_GE15";"T";"AT32";"A";"2004";40,1;"b";NA
"HR";"Y_GE15";"T";"AT32";"A";"2003";38,1;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2002";37,9;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2001";38;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"2000";38,2;NA;NA
"HR";"Y_GE15";"T";"AT32";"A";"1999";38,2;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2015";36,6;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2014";36,7;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2013";36,9;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2012";37,3;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2011";37,6;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2010";37,5;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2009";37,9;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2008";38,4;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2007";38,7;"b";NA
"HR";"Y_GE15";"T";"AT33";"A";"2006";38,8;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2005";39,1;"b";NA
"HR";"Y_GE15";"T";"AT33";"A";"2004";39,6;"b";NA
"HR";"Y_GE15";"T";"AT33";"A";"2003";37,8;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2002";37,6;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2001";38,3;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"2000";38,5;NA;NA
"HR";"Y_GE15";"T";"AT33";"A";"1999";38,8;NA;NA
"HR";"Y_GE15";"T";"AT34";"A";"2015";36,2;NA;NA
