"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"AT32";"A";"2014";73,7;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2013";75,4;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2012";75,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2011";74,1;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2010";73,3;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2009";73,1;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2008";72,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2007";72,4;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2006";70,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2005";70,5;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2004";67,3;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2003";72,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2002";71,5;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2001";70,7;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2000";71,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"1999";70,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2014";74,2;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2013";74,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2012";74,2;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2011";72,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2010";72,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2009";72,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2008";72,4;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2007";72;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2006";70,5;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2005";69,4;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2004";67,2;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2003";68,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2002";68,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2001";66,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2000";68,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"1999";68,2;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2014";64,1;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2013";64,1;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2012";64;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2011";65,1;"b";NA
"PC";"Y15-64";"T";"BE22";"A";"2010";64,4;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2009";64;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2008";63,8;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2007";62,9;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2006";61,8;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2005";60,5;"b";NA
"PC";"Y15-64";"T";"BE22";"A";"2004";60,5;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2003";58,8;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2002";61,3;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2001";60;"b";NA
"PC";"Y15-64";"T";"BE22";"A";"2000";59,4;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"1999";57,9;"b";NA
"PC";"Y15-64";"T";"ES13";"A";"2014";57,6;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2013";56,3;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2012";58,3;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2011";59,7;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2010";60,1;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2009";62;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2008";65,7;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2007";66;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2006";64,4;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2005";62,2;"b";NA
"PC";"Y15-64";"T";"ES13";"A";"2004";59,6;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2003";59,1;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2002";57,2;NA;NA
"PC";"Y15-64";"T";"ES13";"A";"2001";56,2;"b";NA
