"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"AT32";"A";"2014";76,5;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2013";77,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2012";77,5;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2011";76,4;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2010";75,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2009";75,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2008";74,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2007";75;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2006";72,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2005";73,1;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2004";70,4;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2003";73,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2002";73,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2001";72,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2000";73,6;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"1999";73;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2014";76,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2013";77,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2012";76,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2011";74,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2010";75,2;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2009";75,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2008";74,4;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2007";74,3;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2006";72,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2005";72,3;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2004";69,3;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2003";71;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2002";70,6;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2001";68,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2000";70,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"1999";70,5;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2014";68;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2013";67,8;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2012";67,2;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2011";68,2;"b";NA
"PC";"Y15-64";"T";"BE22";"A";"2010";68;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2009";67,7;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2008";66,7;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2007";66,5;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2006";65,9;NA;NA
"PC";"Y15-64";"T";"BE22";"A";"2005";65,1;"b";NA
