"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"AT32";"A";"2014";3,5;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2013";3,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2012";2,9;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2011";2,9;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2010";3,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2009";3,6;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2008";2,8;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2007";3,5;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2006";3,5;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2005";3,6;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2004";4,4;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2003";2,2;"u";NA
"PC";"Y_GE15";"T";"AT32";"A";"2002";3,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2001";2;"u";NA
"PC";"Y_GE15";"T";"AT32";"A";"2000";3,3;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"1999";3,1;"u";NA
"PC";"Y_GE15";"T";"AT33";"A";"2014";3,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2013";3,1;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2012";2,8;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2011";2,7;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2010";3,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2009";3,3;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2008";2,6;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2007";3;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2006";3,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2005";3,9;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2004";2,9;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2003";3,1;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2002";2,4;"u";NA
"PC";"Y_GE15";"T";"AT33";"A";"2001";2,9;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2000";3;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"1999";3,3;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2014";5,6;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2013";5,5;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2012";4,7;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2011";4,6;"b";NA
"PC";"Y_GE15";"T";"BE22";"A";"2010";5,3;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2009";5,4;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2008";4,4;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2007";5,3;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2006";6,2;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2005";7,1;"b";NA
"PC";"Y_GE15";"T";"BE22";"A";"2004";5,9;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2003";6,7;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2002";4,3;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"2001";3,6;"b";NA
"PC";"Y_GE15";"T";"BE22";"A";"2000";5,1;NA;NA
"PC";"Y_GE15";"T";"BE22";"A";"1999";6,6;"b";NA
"PC";"Y_GE15";"T";"ES13";"A";"2014";19,4;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2013";20,4;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2012";17,8;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2011";15,3;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2010";13,7;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2009";12;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2008";7,2;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2007";6;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2006";6,5;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2005";8,5;"b";NA
"PC";"Y_GE15";"T";"ES13";"A";"2004";10,5;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2003";10,3;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2002";9,7;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"2001";8;"b";NA
"PC";"Y_GE15";"T";"ES13";"A";"2000";13,4;NA;NA
"PC";"Y_GE15";"T";"ES13";"A";"1999";15;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2014";4,4;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2013";4,4;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2012";4,1;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2011";3,3;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2010";2,7;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2009";2,9;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2008";2,3;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2007";2,6;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2006";2,6;NA;NA
"PC";"Y_GE15";"T";"ITH1";"A";"2005";2,7;"b";NA
"PC";"Y_GE15";"T";"ITH1";"A";"2004";3,2;"bu";NA
"PC";"Y_GE15";"T";"ITH1";"A";"2003";1,8;"u";NA
"PC";"Y_GE15";"T";"ITH1";"A";"2002";NA;"u";"na"
"PC";"Y_GE15";"T";"ITH1";"A";"2001";2,2;"u";NA
"PC";"Y_GE15";"T";"ITH1";"A";"2000";2,4;"u";NA
"PC";"Y_GE15";"T";"ITH1";"A";"1999";2,3;"u";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2014";6,9;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2013";6,5;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2012";6,1;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2011";4,4;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2010";4,2;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2009";3,5;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2008";3,3;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2007";2,9;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2006";3,1;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2005";3,6;"b";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2004";3;"bu";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2003";3,4;"u";NA
"PC";"Y_GE15";"T";"ITH2";"A";"2002";3,8;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2001";3,9;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"2000";3,7;NA;NA
"PC";"Y_GE15";"T";"ITH2";"A";"1999";5,3;NA;NA
"PC";"Y_GE15";"T";"MT";"A";"2014";5,8;NA;NA
