"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y15-24";"T";"AT32";"A";"2014";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2013";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2012";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2011";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2010";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2009";8,1;NA;"u"
"PC";"Y15-24";"T";"AT32";"A";"2008";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2007";NA;"na";"bu"
"PC";"Y15-24";"T";"AT32";"A";"2006";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2005";7,8;NA;"bu"
"PC";"Y15-24";"T";"AT32";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"AT32";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2014";6;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2013";6,2;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2012";6,4;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2011";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2010";6,6;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2009";6,9;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2008";6,2;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2007";6,9;NA;"bu"
"PC";"Y15-24";"T";"AT33";"A";"2006";6,7;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2005";8,9;NA;"bu"
"PC";"Y15-24";"T";"AT33";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"AT33";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"BE22";"A";"2014";14,7;NA;NA
"PC";"Y15-24";"T";"BE22";"A";"2013";19,8;NA;NA
"PC";"Y15-24";"T";"BE22";"A";"2012";18,6;NA;NA
"PC";"Y15-24";"T";"BE22";"A";"2011";12,6;NA;"bu"
"PC";"Y15-24";"T";"BE22";"A";"2010";17,4;NA;NA
"PC";"Y15-24";"T";"BE22";"A";"2009";18;NA;NA
"PC";"Y15-24";"T";"BE22";"A";"2008";11,7;NA;"u"
"PC";"Y15-24";"T";"BE22";"A";"2007";12,6;NA;"u"
"PC";"Y15-24";"T";"BE22";"A";"2006";13,1;NA;NA
"PC";"Y15-24";"T";"BE22";"A";"2005";16,1;NA;"b"
"PC";"Y15-24";"T";"BE22";"A";"2004";14,4;NA;"u"
"PC";"Y15-24";"T";"BE22";"A";"2003";14,5;NA;"u"
"PC";"Y15-24";"T";"BE22";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"BE22";"A";"2001";13,4;NA;"bu"
"PC";"Y15-24";"T";"BE22";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"BE22";"A";"1999";15,9;NA;"bu"
"PC";"Y15-24";"T";"ES13";"A";"2014";49,2;NA;NA
"PC";"Y15-24";"T";"ES13";"A";"2013";52,5;NA;NA
"PC";"Y15-24";"T";"ES13";"A";"2012";41,7;NA;NA
"PC";"Y15-24";"T";"ES13";"A";"2011";40,6;NA;NA
"PC";"Y15-24";"T";"ES13";"A";"2010";36,1;NA;NA
"PC";"Y15-24";"T";"ES13";"A";"2009";30;NA;NA
"PC";"Y15-24";"T";"ES13";"A";"2008";19,2;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"2007";13,8;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"2006";16,7;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"2005";17,9;NA;"bu"
"PC";"Y15-24";"T";"ES13";"A";"2004";22,4;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"2003";18,8;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"2002";22;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"2001";12,6;NA;"bu"
"PC";"Y15-24";"T";"ES13";"A";"2000";30,8;NA;"u"
"PC";"Y15-24";"T";"ES13";"A";"1999";31,7;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2014";12,4;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2013";12,1;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2012";11,3;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2011";9,1;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2010";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2009";8,9;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2008";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2007";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2006";7,2;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2005";7,2;NA;"bu"
"PC";"Y15-24";"T";"ITH1";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"ITH1";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2014";27,1;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2013";23,4;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2012";20,8;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2011";14,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2010";15,1;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2009";11,6;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2008";8,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2007";9,1;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2006";9,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2005";10,4;NA;"bu"
"PC";"Y15-24";"T";"ITH2";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"ITH2";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"MT";"A";"2014";11,7;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2013";13;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2012";14,1;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2011";13,3;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2010";13,2;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2009";14,5;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2008";11,7;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2007";13,5;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2006";15,5;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2005";16,1;NA;"b"
"PC";"Y15-24";"T";"MT";"A";"2004";18,3;NA;"b"
"PC";"Y15-24";"T";"MT";"A";"2003";17,4;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2002";15,3;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2001";17,6;NA;NA
"PC";"Y15-24";"T";"MT";"A";"2000";11,8;NA;NA
"PC";"Y15-24";"T";"MT";"A";"1999";NA;"na";NA
"PC";"Y15-24";"T";"NL12";"A";"2014";13,5;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2013";15,8;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2012";12,3;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2011";10,8;NA;"b"
"PC";"Y15-24";"T";"NL12";"A";"2010";9;NA;"b"
"PC";"Y15-24";"T";"NL12";"A";"2009";7,3;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2008";5,7;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2007";6;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2006";7,1;NA;NA
"PC";"Y15-24";"T";"NL12";"A";"2005";9,6;NA;"b"
"PC";"Y15-24";"T";"NL12";"A";"2004";7,7;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2003";5,9;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2002";5;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2001";7,3;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"2000";7,6;NA;"u"
"PC";"Y15-24";"T";"NL12";"A";"1999";9,5;NA;"u"
"PC";"Y15-24";"T";"NL13";"A";"2014";14,5;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2013";13,1;NA;NA
"PC";"Y15-24";"T";"NL13";"A";"2012";12;NA;NA
