"CURRENCY";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"MIO_EUR";"TOTAL";"AT32";"A";"2013";NA;"na"
"MIO_EUR";"TOTAL";"AT32";"A";"2012";10339;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2011";9876;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2010";9516;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2009";9273;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2008";9218;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2007";8786;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2006";8392;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2005";7996;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2004";7676;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2003";7473;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2002";7200;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2001";7000;NA
"MIO_EUR";"TOTAL";"AT32";"A";"2000";6833;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2013";NA;"na"
"MIO_EUR";"TOTAL";"AT33";"A";"2012";12362;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2011";11805;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2010";11316;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2009";11016;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2008";10896;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2007";10372;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2006";9891;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2005";9362;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2004";9023;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2003";8772;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2002";8450;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2001";8269;NA
"MIO_EUR";"TOTAL";"AT33";"A";"2000";7992;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2013";NA;"na"
"MIO_EUR";"TOTAL";"BE22";"A";"2012";12544,3;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2011";12180,7;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2010";11574,4;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2009";11217,6;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2008";11334;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2007";10831,5;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2006";10309,6;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2005";9667,2;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2004";9531,4;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2003";9201,6;NA
"MIO_EUR";"TOTAL";"BE22";"A";"2002";NA;"na"
"MIO_EUR";"TOTAL";"BE22";"A";"2001";NA;"na"
"MIO_EUR";"TOTAL";"BE22";"A";"2000";NA;"na"
"MIO_EUR";"TOTAL";"ES13";"A";"2013";5591,1;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2012";5726,8;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2011";6124,6;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2010";6227,3;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2009";6419,7;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2008";6648,7;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2007";6112,2;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2006";5637,9;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2005";5252,3;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2004";4855,8;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2003";4545;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2002";4254,4;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2001";3932,1;NA
"MIO_EUR";"TOTAL";"ES13";"A";"2000";3635,3;NA
"MIO_EUR";"TOTAL";"ITH1";"A";"2013";8046;NA
"MIO_EUR";"TOTAL";"ITH1";"A";"2012";8120,2;NA
"MIO_EUR";"TOTAL";"ITH1";"A";"2011";8031;NA
"MIO_EUR";"TOTAL";"ITH1";"A";"2010";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2009";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2008";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2007";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2006";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2005";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2004";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2003";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2002";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2001";NA;"na"
"MIO_EUR";"TOTAL";"ITH1";"A";"2000";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2013";6999,7;NA
"MIO_EUR";"TOTAL";"ITH2";"A";"2012";7021,9;NA
"MIO_EUR";"TOTAL";"ITH2";"A";"2011";7076,8;NA
"MIO_EUR";"TOTAL";"ITH2";"A";"2010";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2009";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2008";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2007";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2006";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2005";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2004";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2003";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2002";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2001";NA;"na"
"MIO_EUR";"TOTAL";"ITH2";"A";"2000";NA;"na"
"MIO_EUR";"TOTAL";"MT";"A";"2013";3362,52;NA
"MIO_EUR";"TOTAL";"MT";"A";"2012";3224,45;NA
"MIO_EUR";"TOTAL";"MT";"A";"2011";3039,87;NA
"MIO_EUR";"TOTAL";"MT";"A";"2010";2845,32;NA
"MIO_EUR";"TOTAL";"MT";"A";"2009";2736,14;NA
"MIO_EUR";"TOTAL";"MT";"A";"2008";2668,91;NA
"MIO_EUR";"TOTAL";"MT";"A";"2007";2503,01;NA
"MIO_EUR";"TOTAL";"MT";"A";"2006";2365,02;NA
"MIO_EUR";"TOTAL";"MT";"A";"2005";2226,4;NA
"MIO_EUR";"TOTAL";"MT";"A";"2004";2183,14;NA
"MIO_EUR";"TOTAL";"MT";"A";"2003";2125,88;NA
"MIO_EUR";"TOTAL";"MT";"A";"2002";2100,58;NA
"MIO_EUR";"TOTAL";"MT";"A";"2001";2058,91;NA
"MIO_EUR";"TOTAL";"MT";"A";"2000";1908,02;NA
"MIO_EUR";"TOTAL";"NL12";"A";"2013";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2012";9042;NA
"MIO_EUR";"TOTAL";"NL12";"A";"2011";8961;NA
"MIO_EUR";"TOTAL";"NL12";"A";"2010";8701;NA
"MIO_EUR";"TOTAL";"NL12";"A";"2009";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2008";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2007";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2006";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2005";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2004";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2003";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2002";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2001";NA;"na"
"MIO_EUR";"TOTAL";"NL12";"A";"2000";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2013";NA;"na"
"MIO_EUR";"TOTAL";"NL13";"A";"2012";6899;NA
"MIO_EUR";"TOTAL";"NL13";"A";"2011";6946;NA
"MIO_EUR";"TOTAL";"NL13";"A";"2010";6756;NA
