"UNIT";"NA_ITEM";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"EUR_HAB";"B6N";"AT32";"A";"2012";22400;NA
"EUR_HAB";"B6N";"AT32";"A";"2011";21500;NA
"EUR_HAB";"B6N";"AT32";"A";"2010";21000;NA
"EUR_HAB";"B6N";"AT32";"A";"2009";20900;NA
"EUR_HAB";"B6N";"AT32";"A";"2008";20800;NA
"EUR_HAB";"B6N";"AT32";"A";"2007";20200;NA
"EUR_HAB";"B6N";"AT32";"A";"2006";19300;NA
"EUR_HAB";"B6N";"AT32";"A";"2005";18500;NA
"EUR_HAB";"B6N";"AT32";"A";"2004";17400;NA
"EUR_HAB";"B6N";"AT32";"A";"2003";16800;NA
"EUR_HAB";"B6N";"AT32";"A";"2002";16300;NA
"EUR_HAB";"B6N";"AT32";"A";"2001";16000;NA
"EUR_HAB";"B6N";"AT32";"A";"2000";15800;NA
"EUR_HAB";"B6N";"AT33";"A";"2012";21400;NA
"EUR_HAB";"B6N";"AT33";"A";"2011";20600;NA
"EUR_HAB";"B6N";"AT33";"A";"2010";20100;NA
"EUR_HAB";"B6N";"AT33";"A";"2009";20000;NA
"EUR_HAB";"B6N";"AT33";"A";"2008";20000;NA
"EUR_HAB";"B6N";"AT33";"A";"2007";19500;NA
"EUR_HAB";"B6N";"AT33";"A";"2006";18700;NA
"EUR_HAB";"B6N";"AT33";"A";"2005";18000;NA
"EUR_HAB";"B6N";"AT33";"A";"2004";17000;NA
"EUR_HAB";"B6N";"AT33";"A";"2003";16500;NA
"EUR_HAB";"B6N";"AT33";"A";"2002";15900;NA
"EUR_HAB";"B6N";"AT33";"A";"2001";15500;NA
"EUR_HAB";"B6N";"AT33";"A";"2000";15300;NA
"EUR_HAB";"B6N";"BE22";"A";"2012";18700;NA
"EUR_HAB";"B6N";"BE22";"A";"2011";18400;NA
"EUR_HAB";"B6N";"BE22";"A";"2010";17900;NA
"EUR_HAB";"B6N";"BE22";"A";"2009";17900;NA
"EUR_HAB";"B6N";"BE22";"A";"2008";17800;NA
"EUR_HAB";"B6N";"BE22";"A";"2007";17000;NA
"EUR_HAB";"B6N";"BE22";"A";"2006";16300;NA
"EUR_HAB";"B6N";"BE22";"A";"2005";15500;NA
"EUR_HAB";"B6N";"BE22";"A";"2004";15000;NA
"EUR_HAB";"B6N";"BE22";"A";"2003";14700;NA
"EUR_HAB";"B6N";"BE22";"A";"2002";NA;"na"
"EUR_HAB";"B6N";"BE22";"A";"2001";NA;"na"
"EUR_HAB";"B6N";"BE22";"A";"2000";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2012";13100;NA
"EUR_HAB";"B6N";"ES13";"A";"2011";13700;NA
"EUR_HAB";"B6N";"ES13";"A";"2010";13400;NA
"EUR_HAB";"B6N";"ES13";"A";"2009";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2008";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2007";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2006";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2005";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2004";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2003";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2002";NA;"na"
"EUR_HAB";"B6N";"ES13";"A";"2001";NA;"na"
