"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2015";0,77;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2014";2,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2013";1,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2012";-0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2011";-1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2010";-0,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2009";0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2008";-0,6;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2007";0,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2006";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2005";-0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2004";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2003";-1,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2002";0,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2001";-2,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"2000";4,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1999";-0,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1998";-0,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1997";-1,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1996";-2,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1995";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1994";-1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1993";-0,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1992";-5,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"AT32";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2015";-0,85;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2014";-0,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2013";-0,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2012";-0,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2011";1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2010";-0,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2009";-1,6;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2008";-2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2007";3,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2006";-0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2005";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2004";-2,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2003";1,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2002";1,6;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2001";-1,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"2000";3,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1999";-1,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1998";2,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1997";-0,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1996";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1995";-2,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1994";0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1993";-0,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1992";-1,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"AT33";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2015";-0,68;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2014";-0,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2013";-0,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2012";-0,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2011";-0,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2010";0,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2009";2,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2008";-1,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2007";4,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2006";0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2005";2,4;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2004";-4,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2003";-2,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2002";3,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2001";-0,5;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"2000";8,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1999";-6,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1998";4,8;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1997";-0,3;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1996";-1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1995";0,2;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1994";-0,9;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1993";-1,1;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1992";-3,7;NA;NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1991";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"AT34";"A";"1990";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2015";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2014";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2013";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2012";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2011";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2010";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2009";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2008";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2007";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2006";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2005";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2004";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2003";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2002";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2001";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"2000";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1999";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1998";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1997";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1996";NA;"na";NA
"PCH_PRE";"A001";"I551-I553";"CH07";"A";"1995";NA;"na";NA
