"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"P_THAB";"B006";"I551-I553";"AT32";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2014";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2013";39743;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2012";39119;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2011";36886;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2010";36923;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2009";36702;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2008";37998;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2007";36699;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2006";36300;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2005";35461;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2004";34566;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2003";34200;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2002";33891;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2001";33161;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"2000";32104;NA;NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT32";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2014";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2013";49033;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2012";48743;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2011";47249;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2010";47417;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2009";47470;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2008";48691;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2007";46840;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2006";46428;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2005";47089;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2004";46609;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2003";47235;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2002";46877;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2001";46021;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"2000";45599;NA;NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT33";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2014";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2013";17630;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2012";17259;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2011";16168;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2010";16363;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2009";16278;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2008";16451;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2007";16003;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2006";15348;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2005";15496;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2004";15718;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2003";15860;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2002";15707;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2001";15466;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"2000";15272;NA;NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1999";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1998";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1997";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"AT34";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2014";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2013";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2012";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2011";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2010";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2009";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2008";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2007";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2006";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2005";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2004";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2003";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2002";13380;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2001";17594;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"2000";18390;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1999";18877;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1998";18456;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1997";18098;NA;NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1996";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1995";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1994";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1993";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1992";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1991";NA;"na";NA
"P_THAB";"B006";"I551-I553";"CH07";"A";"1990";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2015";NA;"na";NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2014";5944,17;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2013";5834;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2012";5854;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2011";5646;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2010";5405;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2009";5190;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2008";5545;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2007";5500;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2006";5990;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2005";5993;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2004";5929;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2003";5347;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2002";5401;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2001";5725;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"2000";5725;NA;NA
"P_THAB";"B006";"I551-I553";"DE2";"A";"1999";NA;"na";NA
